% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:48
% Table:              Table 2 - tu_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
260                                               2800.94134312581+10363.592002600732i              2801.194774670045+10363.876881661155i             2801.4516174044097+10364.260646368533i            2801.711409759781+10364.484467717422i             2801.9735407606568+10364.751302288021i
265                                               2906.2779502267695+10544.413564558337i            2906.562703322484+10544.700807343546i             2906.850459560199+10545.087726492684i             2907.140712068627+10545.310480051585i             2907.4327956803318+10545.576022878828i
270                                               3013.419913567589+10724.255584973162i             3013.737658743972+10724.54316383099i              3014.0578819559078+10724.931138317848i            3014.38002875002+10725.15065544016i               3014.7033775864547+10725.412678522274i
275                                               3122.3602255283513+10903.101033954947i            3122.7125397723075+10903.386711503104i            3123.066677696832+10903.773436757294i             3123.4220352221573+10903.987348142571i            3123.777832566097+10904.243428369888i
280                                               3233.0916048216363+11080.932641139274i            3233.479951530657+11081.213972149233i             3233.8693258681365+11081.59694123134i             3234.259072368908+11081.802681237268i             3234.648351551402+11082.050205959984i
285                                               3345.6064618664486+11257.732913577149i            3346.0321706140417+11258.007248572168i            3346.4579566108246+11258.38375703369i             3346.883111629548+11258.578569843792i             3347.3067354871196+11258.8147443394i
290                                               3459.8968667373474+11433.484157188956i            3460.3611129770993+11433.748647772249i            3460.8243190702683+11434.11580033432i             3461.285723086149+11434.296747977543i             3461.7443637082724+11434.518604839448i
295                                               3575.9545200195917+11608.168501362048i            3576.4583048867626+11608.42010729875i             3576.959752537563+11608.77482632986i              3577.4580469361313+11608.938798571944i            3577.9521658395306+11609.143209002721i
300                                               3693.7707268276035+11781.767926238192i            3694.314857165121+11782.003424292963i             3694.855161054424+11782.342460090907i             3695.390768560894+11782.486186168011i             3695.9205974717966+11782.66987316484i
305                                               3813.3363741796684+11954.264292212049i            3813.9214429430867+11954.480286725988i            3814.5009916555928+11954.800229596636i            3815.0740974074147+11954.920291775597i            3815.639619818505+11955.079845164606i
310                                               3934.64191186139+12125.639371182466i              3935.268279028062+12125.832306383707i             3935.8872163881547+12126.129600468148i            3936.4977497936457+12126.22244939548i             3937.098683446847+12126.354342658384i
315                                               4057.677336833471+12295.874879076813i             4058.3451109614093+12296.041053083414i            4059.0033181594017+12296.312011914251i            4059.6509356841393+12296.373983686397i            4060.2867161345034+12296.474592538232i
320                                               4182.432181193066+12464.952509213539i             4183.141201759718+12465.08808969289i              4183.838280398812+12465.328913410493i             4184.522349438178+12465.356248327895i             4185.192114852273+12465.42187094311i
325                                               4308.895503648957+12632.853966043702i             4309.645324283142+12632.955007477183i             4310.380580482216+12633.161801662869i             4311.10016444163+12633.150664568147i              4311.80274176756+12633.177543383557i
330                                               4437.055884354815+12799.560998866502i             4437.845757108207+12799.62346137745i              4438.618186793728+12799.792257412219i             4439.372031513+12799.738759556738i                4440.105924163038+12799.72310455976i
335                                               4566.901423014614+12965.055435163495i             4567.730283760722+12965.075204817857i             4568.538559263415+12965.201981723932i             4569.3250809095825+12965.102204041485i            4570.088458058055+12965.04021742391i
340                                               4698.4197399961595+13129.319213172665i            4699.286195093061+13129.292123712894i             4700.12865314736+13129.37283135283i               4700.945927692676+13129.222849076788i             4701.736615334409+13129.110751152568i
345                                               4831.5979802543725+13292.334413434039i            4832.500294556361+13292.256269351761i             4833.3749258436055+13292.286852927786i            4834.220680223513+13292.082761420399i             4835.036154075703+13291.91681767794i
350                                               4966.4228197981765+13454.083289034243i            4967.358906126212+13453.949889903472i             4968.263346424922+13453.926315654042i             4969.134951494055+13453.664257343333i             4969.97233185276+13453.44080651638i
355                                               5102.88047438736+13614.548294356437i              5103.847884555002+13614.355460355266i             5104.779407619083+13614.27374233794i              5105.673872985794+13613.949934656885i             5106.529921623971+13613.66541767109i
360                                               5240.956710195582+13773.712112171153i             5241.952627668901+13773.455710682832i             5242.908139910471+13773.31193855515i              5243.822110740874+13772.922702754962i             5244.693229922963+13772.573692424512i
365                                               5380.636856096775+13931.557678966681i             5381.658090393268+13931.23365220082i              5382.634127454379+13931.02401987757i              5383.56388331352+13930.565810586682i              5384.446117007781+13930.149041909292i
370                                               5521.905817289163+14088.068208468283i             5522.948800176377+14087.672601965774i             5523.9415254642+14087.393437056739i               5524.88298128547+14086.862872469814i              5525.772018633012+14086.375273390366i
375                                               5664.74808993635+14243.227213333132i              5665.808873524011+14242.756205292797i             5666.814078796713+14242.403999192511i             5667.762788026596+14241.797891751363i             5668.653969119832+14241.236614228352i
