% Model:              2D Model _ g2u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 22 2017, 22:27
% Table:              Table 1 - g2u_g2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
100                                               1213.50793575668+20867.204227611175i              1444.0411855282746+23958.44555568937i             1694.5806514084147+27187.160688090527i            1965.1181512387018+30545.441746467674i            2255.645078332721+34026.754758166215i
105                                               1339.1048640065856+21898.78565692666i             1593.483939586403+25142.2415440081i               1869.9343353080665+28529.808038383573i            2168.446138343775+32053.175591369833i             2489.0089197591446+35705.47710802913i
110                                               1470.2989655782314+22928.875233654224i            1749.5838653699254+26324.247043750045i            2053.096168484001+29870.3357266121i               2380.823984183042+33558.429184088i                2732.754800450339+37381.32629922146i
115                                               1607.0845919154542+23957.415059068124i            1912.3339422394943+27504.392611191714i            2244.057545731068+31208.661590310487i             2602.2412665425845+35061.10643602289i             2986.8702275943615+39054.19107521664i
120                                               1749.4483324838868+24984.34514930474i             2081.7179128435305+28682.606341241255i            2442.799021782725+32544.700602034136i             2832.6749909799114+36561.10796351926i             3251.3282748150873+40723.95642878325i
125                                               1897.370015145351+26009.604923915686i             2257.7114753761944+29858.81563871651i             2649.29171261413+33878.36694784832i               3072.0912183585265+38058.33349803111i             3526.0894533258574+42390.50636825879i
130                                               2050.8236605766865+27033.134278875732i            2440.283421105158+31032.948494924578i             2863.498632458537+35209.57552508468i              3320.446617835355+39552.68362258359i              3811.1034973601695+44053.7259102935i
135                                               2209.7783609563758+28054.874349270605i            2629.3966817374294+32204.934394828488i            3085.3759249714094+36538.24300636344i             3577.6898969738654+41044.061005055446i            4106.31100855923+45713.50249468013i
140                                               2374.1990717209646+29074.7680407591i              2825.009273299832+33374.70494891085i              3314.873972842752+37864.28858042279i              3843.763090883946+42532.37125642845i              4411.6449383309655+47369.72696851445i
145                                               2544.0473155448553+30092.760388941293i            3027.0751354639697+34542.19432012741i             3551.9383847163863+39187.634452277336i            4118.60270887259+44017.52350980455i               4727.031906665842+49022.29424957798i
