% Model:              2D Model _ g1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 22 2017, 00:42
% Table:              Table 1 - g1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
100                                               812.2797247578673+15095.093625373507i             812.2231357758923+15095.23711598459i              812.1660816199606+15095.371463734442i             812.108527754988+15095.503470578715i              812.0504316800358+15095.628016351855i
105                                               896.5830539202037+15842.155060519846i             896.5268107045803+15842.30712176852i              896.4703557794264+15842.44956824855i              896.4136531946197+15842.589542260514i             896.3566576244067+15842.721663658143i
110                                               984.646543496033+16588.243280071845i              984.589808308701+16588.404377091425i              984.5331252030348+16588.55537603775i              984.4764562312855+16588.703759264306i             984.4197524025168+16588.843885730053i
115                                               1076.469762059783+17333.322149498003i             1076.4117567885412+17333.49292431646i             1076.3540809569486+17333.653106850317i            1076.2966939396142+17333.810519209856i            1076.239542131405+17333.959258535204i
120                                               1172.047330220763+18077.35371393241i              1171.9873508664139+18077.53497410747i             1171.9279953727132+18077.705136675286i            1171.869219670717+18077.8723632148i               1171.8109644686551+18078.030488100325i
125                                               1271.3695416540304+18820.29922550204i             1271.3069712483923+18820.491933919377i            1271.2453398617256+18820.673027422188i            1271.184599128723+18820.851006759927i             1271.1246828608453+18821.019442578072i
130                                               1374.4229683302615+19562.11988823657i             1374.3572889341078+19562.325153823127i            1374.292888253088+19562.51827364796i              1374.2297126428716+19562.708087342726i            1374.1676876813779+19562.887900828202i
135                                               1481.1910257140066+20302.777389909912i            1481.1218299536806+20302.996458923022i            1481.054280980193+20303.202835584674i             1480.988318780042+20303.405698097074i             1480.9238591976614+20303.598086648653i
140                                               1591.6544870464857+21042.23427349853i             1591.5814894811235+21042.46852111238i             1591.5105389783328+21042.689511152133i            1591.4415679388417+21042.90676008794i             1591.3744808085064+21043.11304133748i
145                                               1705.7919435756778+21780.45418808121i             1705.714992032604+21780.705109915154i             1705.640523819629+21780.942186786313i             1705.56846236663+21781.175273102977i              1705.4986988843082+21781.396874467468i
150                                               1823.5802117926091+22517.402049014327i            1823.499298773891+22517.671252392356i             1823.4213449998872+22517.925997033377i            1823.3462633963873+22518.176474956686i            1823.2739298897202+22518.414922879423i
155                                               1944.9946908814873+23253.04412989607i             1944.9099650064536+23253.333324573076i            1944.8287174364993+23253.607415455906i            1944.750848875087+23253.87693185025i              1944.6762176923016+23254.133840505237i
160                                               2070.009674523431+23987.34810315319i              2069.921451969684+23987.659091316524i             2069.8372731988825+23987.954293771563i            2069.757024766828+23988.244576787274i             2069.6805449801445+23988.52163606168i
165                                               2198.5986213578385+24720.283041943327i            2198.507397191814+24720.61770734967i              2198.420831692416+24720.935862016537i             2198.3387951187865+24721.248708854313i            2198.261102935288+24721.54767144595i
170                                               2330.7343882716077+25451.81939302584i             2330.640847559426+25452.179689160068i             2330.5526324443645+25452.522699452013i            2330.4695944900727+25452.85996315344i             2330.3915232506833+25453.18263068253i
175                                               2466.389430321547+26181.928927978028i             2466.294458883165+26182.31686514048i              2466.205534238964+26182.68668363509i              2466.1224865905956+26183.050258801697i            2466.04507620021+26183.398466877185i
180                                               2605.535970710664+26910.584678400002i             2605.4406653672195+26911.002309686697i            2605.3521840248504+26911.40092343656i             2605.270332540177+26911.792730852216i             2605.1948381699044+26912.168333045556i
185                                               2748.146143815839+27637.760859607173i             2748.0518219902333+27638.210265772635i            2747.965158550249+27638.63968047752i              2747.885931711405+27639.061650643474i             2747.813831636747+27639.466501385086i
190                                               2894.192113925366+28363.432786345624i             2894.1003224375877+28363.91605954853i             2894.0170814363887+28364.378282641694i            2893.9421378458383+28364.83233821069i             2893.875140238605+28365.26827461653i
195                                               3043.646171982748+29087.576783383807i             3043.558694923358+29088.096009845704i             3043.480717975729+29088.593032513647i             3043.4119527378457+29089.081069710544i            3043.3520012971403+29089.54989241809i
200                                               3196.4808124398733+29810.17009334008i             3196.399677957169+29810.727334990665i             3196.3290497466305+29811.26111320729i             3196.268599635585+29811.784982263376i             3196.2178778768953+29812.28843533592i
205                                               3352.6687920535624+30531.190783717862i            3352.596277945371+30531.788058870654i             3352.5353309295792+30532.360493501055i            3352.4855781851657+30532.921978243012i            3352.446512299886+30533.4617282404i
210                                               3512.1831722984284+31250.617654804664i            3512.1218103057336+31251.256917980005i            3512.073128038415+31251.869834073685i             3512.036702678218+31252.470630708664i             3512.0119628367393+31253.048245046113i
215                                               3674.997347001399+31968.430149840828i             3674.9499256838144+31969.11327081401i             3674.916344630419+31969.768396175416i             3674.8961252005756+31970.410091448324i            3674.888625182253+31971.027016160348i
220                                               3841.085056615273+32684.608268691067i             3841.054622732203+32685.33701089034i              3841.03923252275+32686.035954062325i              3841.038345179433+32686.72000286346i              3841.051240285049+32687.377539915982i
225                                               4010.420390571499+33399.132486039554i             4010.4102488895837+33399.90848439666i             4010.416390907094+33400.65271217716i              4010.4382067676574+33401.38041477518i             4010.4748899103092+33402.079699069516i
230                                               4182.977779002595+34111.983674991134i             4182.99149048267+34112.808413389226i              4183.022754745965+34113.5992280053i               4183.0708854610875+34114.371707028404i            4183.134981414476+34115.113683240954i
235                                               4358.7319751720715+34823.14303683371i             4358.773353468912+34824.017825262024i             4358.8335737686375+34824.85634135463i             4358.911865274181+34825.674518659675i             4359.007223024624+34826.45991808791i
240                                               4537.658029874891+35532.59203754825i              4537.7311361198435+35533.51798909425i             4537.824383373284+35534.40511064508i              4537.936907792492+35535.2696842476i               4538.067590987723+35536.099001795075i
245                                               4719.731258979135+36240.31235154887i              4719.840394853215+36241.2903593768i               4719.970968665667+36242.22675671155i              4720.122014365882+36243.13817788866i              4720.292289862309+36244.01164938171i
250                                               4904.927205423119+36946.285813023904i             4905.076904470172+36947.31652744894i              4905.249322891696+36948.3026144524i               4905.443382680782+36949.261065199564i             4905.657707192499+36950.17864514254i
255                                               5093.221596722278+37650.49437508237i              5093.4166139378785+37651.5781808684i              5093.635601447769+37652.61409256506i              5093.877358958652+37653.61946353063i              5094.140363843374+37654.58080348656i
260                                               5284.590299218882+38352.92007685693i              5284.835598905964+38354.05707088059i              5285.106072623235+38355.142641489816i             5285.400386884805+38356.19451050966i              5285.71686109874+38357.19893823607i
265                                               5479.009270103479+39053.545018548866i             5479.310012036528+39054.73498792015i              5479.637066200886+39055.86972951206i              5479.988954453703+39056.967340921045i             5480.3638257371995+39058.01384040027i
270                                               5676.454508299089+39752.35134432397i              5676.816032214523+39753.59374509184i              5677.20492097402+39754.77682698712i               5677.6195397869615+39755.919071781274i            5678.057854128494+39757.0062642816i
275                                               5876.90200520848+40449.3212328571i                5877.329813657033+40450.615169417986i             5877.785932207519+40451.84539841438i              5878.268556935734+40453.030795420425i             5878.77545639704+40454.15692169295i
280                                               6080.327696222125+41144.43689522414i              6080.827435842743+41145.78110050958i              6081.35629998454+41147.0569020584i                6081.912302644508+41148.28358020347i              6082.493001626119+41149.44648396368i
285                                               6286.7074139234355+41837.680579771564i            6287.284855168086+41839.07339632629i              6287.892079321639+41840.39279675068i              6288.52690495879+41841.65847853599i               6289.186664976957+41842.85559130274i
290                                               6496.016843742174+42529.03458345876i              6496.677859107322+42530.47394549961i              6497.369132864319+42531.83455536084i              6498.0882744937035+42533.13654164205i             6498.832377559531+42534.36486903249i
295                                               6708.231482802753+43218.481269170785i             6708.982023629831+43219.96468568736i              6709.763086907638+43221.363684364886i             6710.572059075858+43222.69884051875i              6711.405779794355+43223.95495012219i
300                                               6923.326602595568+43906.00308836624i              6924.172674490913+43907.52762738329i              6925.049291339901+43908.9617489498i               6925.953602431883+43910.326492498745i             6926.882178875002+43911.60650337658i
305                                               7141.277216033837+44591.58260841427i              7142.224852954706+44593.14488242949i              7143.202784112042+44594.610402916835i             7144.20790745022+44596.000692714595i              7145.236510938198+44597.30026659337i
310                                               7362.05804933425+45275.20254390041i               7363.113286408161+45276.79869662163i              7364.1982606433985+45278.29142271777i             7365.309604487828+45279.70274972337i              7366.443308354527+45281.0170839734i
315                                               7585.643519101798+45956.8457911652i               7586.812364215581+45958.47148558054i              7588.01004855182+45959.98674482104i               7589.232925059909+45961.41412456279i              7590.476672500458+45962.737947005226i
