% Model:              2D Model _ g1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 22 2017, 00:42
% Table:              Table 1 - g1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
320                                               7812.0077148422615+46636.4954653313i              7813.296119089178+46638.14587316416i              7814.612087960074+46639.67850572171i              7815.95168120334+46641.11647245777i               7817.3102522996805+46642.444038051195i
325                                               8041.124387139886+47314.13493899889i              8042.538214128287+47315.804731660224i             8043.977917518696+47317.349083713394i             8045.439250626755+47318.791686394485i             8046.917228648347+47320.11677583832i
330                                               8272.96694145978+47989.747881875184i              8274.511935562494+47991.4312228892i               8276.080666245627+47992.981141704695i             8277.66856775405+47994.4219417665i                8279.270304825863+47995.737862107315i
335                                               8507.508437647393+48663.318300550425i             8509.19019123618+48665.00883960176i               8510.893051105166+48666.55767033197i              8512.61212058723+48667.989741340425i              8514.341702809497+48669.28932857112i
340                                               8744.721594923867+49334.83057766013i              8746.545514636415+49336.52144627066i              8748.38738022533+49338.06203054145i               8750.241953288132+49339.477959805954i             8752.10316539455+49340.75358352502i
345                                               8984.578802197635+50004.26950976776i              8986.55007426303+50005.95331867745i               8988.535561530276+50007.47799502818i              8990.529674223111+50008.8698871558i               8992.52596387365+50010.1134573333i
350                                               9227.052133388795+50671.62034323536i              9229.175688082645+50673.28918156059i              9231.309116478065+50674.78978779529i              9233.446469215949+50676.14927028921i              9235.580910998435+50677.35224615223i
355                                               9472.113367358297+51336.86880749505i              9474.393842625845+51338.514243745485i             9476.679198530166+51339.98212124149i              9478.96311958869+51341.3003521807i                9481.238378818087+51342.45375328851i
360                                               9719.734012027398+52000.00114516342i              9722.175716318772+52001.61423017077i              9724.616615906532+52003.040230234634i             9727.05002456657+52004.30790808574i               9729.46832097575+52005.40232761926i
365                                               9969.885332154428+52661.00413847936i              9972.492206531855+52662.57541034875i              9975.09185812033+52663.9499026753i                9977.677227529484+52665.157278299834i             9980.240298937102+52666.182898618434i
370                                               10222.538380190535+53319.865131675244i            10225.313959750152+53321.38462281214i             10228.075125712914+53322.69750614017i             10230.81444556712+53323.83439706049i              10233.523511596204+53324.781007565856i
375                                               10477.664029606705+53976.57204891248i             10480.611404302976+53978.0292952621i              10483.536362621293+53979.270010281994i            10486.431101718717+53980.325817264245i            10489.286827690254+53981.182834640065i
380                                               10735.233010066875+54631.11340754751i             10738.354784979285+54632.4974601085i              10741.445290492476+54633.655004713335i            10744.49635929376+54634.61873076937i              10747.498820368108+54635.375221611655i
385                                               10995.215943712632+55283.478326553544i            10998.514198872363+55284.77776527765i             11001.771444342408+55285.840712289784i            11004.979157596152+55286.70098409908i             11008.127803301217+55287.34569004767i
390                                               11257.583381973007+55933.656530013504i            11261.059631788781+55934.859480226725i            11264.48420887101+55935.8159976094i               11267.848248432556+55936.56108953147i             11271.141867661672+55937.082454900745i
395                                               11522.30584209384+56581.63834570822i              11525.960994539415+56582.73249712059i             11529.552854764566+56583.57037084529i             11533.072232723543+56584.18823151737i             11536.508919340768+56584.574433534886i
400                                               11789.3538428275+57227.4146988787i                11793.188158452329+57228.38732733448i             11796.946574353797+57229.09398696963i             11800.61959660551+57229.57226861113i              11804.196715812928+57229.81125028338i
405                                               12058.697938541789+57870.977101387645i            12062.710989473166+57871.81509344743i             12066.634515976803+57872.37764055659i             12070.45874637837+57872.70373104934i              12074.172901957316+57872.78323672334i
410                                               12330.308751172592+58512.31763649793i             12334.499380235337+58513.00751697822i             12338.585816499664+58513.41275643962i             12342.55804175734+58513.57381425399i              12346.405044380394+58513.481427933635i
415                                               12604.156999432973+59151.42893965397i             12608.523279557638+59151.95690224462i             12612.769631398858+59152.19137657111i             12616.885826870723+59152.17436860383i             12620.860663627807+59151.897555076204i
420                                               12880.21352472139+59788.3041756993i               12884.752718827045+59788.6561167301i              12889.155161930043+59788.70614349436i             12893.410458539422+59788.49788588325i             12897.507263887741+59788.024034657865i
425                                               13158.449313305704+60422.93701294255i             13163.157834848402+60423.098568441215i            13167.711678961456+60422.95028085994i             13172.10033140526+60422.53748286502i              13176.312359726562+60421.8539550019i
430                                               13438.835514349877+61055.32159471308i             13443.708888744572+61055.278180829766i            13448.408543098296+61054.917571593134i            13452.923899566646+61054.286882514854i            13457.243499565726+61053.38106034434i
435                                               13721.343453439958+61685.452508904964i            13726.376280635424+61685.189365774546i            13731.215220767197+61684.60233417276i             13735.849694454004+61683.74039343295i             13740.26828561655+61682.59973317027i
440                                               14005.944641411988+62313.32475620242i             14011.13055981068+62312.82699531092i              14016.101296128669+62311.999397702i               14020.846338709192+62310.89288803511i             14025.354390076489+62309.50497529957i
445                                               14292.610778251285+62938.93371759409i             14297.942430309226+62938.186372721226i            14303.036478595926+62937.104076362826i            14307.882556000175+62935.73978014157i             14312.46956749773+62934.092388336765i
450                                               14581.313752035843+63562.275121866536i            14586.782751781875+63561.26320360866i             14591.990605949833+63559.91214386897i             14596.927176694533+63558.277002555435i            14601.581663299266+63556.35815408847i
455                                               14872.025632877649+64183.34501375901i             14877.622535690194+64182.05356765348i             14882.933643099814+64180.41980855907i             14887.94913944539+64178.50098524005i              14892.658618472231+64176.29901549125i
460                                               15164.718662000218+64802.139723448105i            15170.432936937852+64800.553891676995i            15175.835676574654+64798.62368979293i             15180.91748882808+64796.40863470523i              15185.668470614062+64793.91225867459i
465                                               15459.365236067193+65418.655837986786i            15465.185241107+65416.7609246246i                 15470.66690493317+65414.52079618582i              15475.80136921399+65411.99731517985i              15480.579351500168+65409.195696679475i
470                                               15755.93788708615+66032.89017539367i              15761.85084757795+66030.67171512084i              15767.397625417118+66028.10850630022i             15772.570015174608+66025.26483208375i             15777.359481484762+66022.1476553616i
475                                               16054.409258147132+66644.83976190512i             16060.401248875698+66642.28359211239i             16065.998217110098+66639.3845523231i              16071.192738755368+66636.20941838203i             16075.97716107302+66632.7669619432i
480                                               16354.752075463559+67254.5018130389i              16360.808006614445+67251.5941491304i              16366.439121119667+67248.34700721192i             16371.638914039939+67244.82972416386i             16376.400760065253+67241.05293666494i
485                                               16656.93911713211+67861.87371885215i              16663.04272457612+67858.60123265465i              16668.69081812426+67854.99427571263i              16673.87795943557+67851.12480994192i              16678.59870477908+67847.0053878585i
490                                               16960.94317917537+68466.95303394191i              16967.07701936681+68463.30293496975i              16972.723803931473+68459.3250896997i              16977.879318273048+68455.09414398391i             16982.539463765836+68450.62461078167i
495                                               17266.737039421794+69069.7374724926i              17272.882489305695+69065.69759184115i             17278.508563535084+69061.33850802259i             17283.612438192165+69056.73760387888i             17288.191532703237+69051.91139045385i
500                                               17574.29341984576+69670.22490869301i              17580.430682090715+69665.78378530047i             17586.01554426671+69661.03392119844i              17591.04674995151+69656.05548265316i              17595.523418903995+69650.86700861492i
505                                               17883.58494805449+70268.41338275318i              17889.693061910664+70263.5603517062i              17895.215128747917+70258.41106105104i             17900.15164627077+70253.0484994518i               17904.503626120997+70247.4932549382i
510                                               18194.584118517498+70864.30111266526i             18200.640976677107+70859.0263952195i              18206.077608176613+70853.4700153774i              18210.896461293094+70847.71781486865i             18215.100640200246+70841.79244249637i
515                                               18507.263254329126+71457.88651178757i             18513.245626017422+71452.1813067064i              18518.57315668949+71446.2112476619i               18523.250451329157+71440.06505093716i             18527.28291622158+71433.76742739994i
520                                               18821.594470111682+72049.16821222144i             18827.47803069916+72043.02478803109i              18832.6718073747+72036.63562172987i               18837.182777504648+72030.0923155873i              18841.018867679977+72023.42163250713i
525                                               19137.54963681002+72638.14509390552i              19143.309004193197+72631.5568816211i              19148.3434306374+72624.74443124703i               19152.66249086707+72617.80223145302i              19156.276858308647+72610.75907496025i
530                                               19455.10034901632+73224.81631929788i              19460.70912696781+73217.77800512552i              19465.55771545964+73210.53943375699i              19469.658520592693+73203.19796876493i             19473.025197060022+73195.78439729077i
535                                               19774.21789550426+73809.18137331288i              19779.648724172337+73801.68899084585i             19784.28415420707+73794.02288904379i              19788.13966580139+73786.28328197934i              19791.232136800107+73778.50290173589i
540                                               20094.87323359737+74391.24010829921i              20100.09784728473+74383.29112966682i              20104.492031503356+74375.1976013894i              20108.074591514818+74367.06254978954i             20110.865877123782+74358.92058739008i
545                                               20417.03696795203+74970.99279363856i              20422.026260275787+74962.58621902074i             20426.150417667643+74954.06696534116i             20429.43182921288+74945.540818074i                20431.89457178721+74937.04418968598i
550                                               20740.679334312143+75548.44016950364i             20745.403430818053+75539.57661450357i             20749.22816720566+75530.63501450993i              20752.17978239359+75521.72384525707i              20754.28634103504+75512.88122174192i
555                                               21065.770188736253+76123.58350430717i             21070.19852693665+76114.2652845293i               21073.693922755556+76104.90647284893i             21076.286737527673+76095.61814958797i             21078.009289236685+76086.44001700307i
560                                               21392.27900274451+76696.42465531683i              21396.38041957228+76686.65586754892i              21399.51612480623+76676.88680787159i              21401.720880654335+76667.23105772317i             21403.03152798291+76657.72977261122i
565                                               21720.174864752324+77266.96613174747i             21723.917691338615+77256.75273119997i             21726.66302752677+77246.58228515739i              21728.450319923475+77236.57075402266i             21729.32120488891+77226.76059285426i
570                                               22049.42648815967+77835.21115984618i              22052.778651789915+77824.56103272736i             22055.102720890183+77814.00002357988i             22056.44311419523+77803.64632991169i              22056.846538193193+77793.5435321224i
575                                               22380.00222631232+78401.16374915671i              22382.931359359598+78390.08678005928i             22384.803159254177+78379.1480505011i              22385.667307807227+78368.46783265093i             22385.57585721171+78358.09063667532i
580                                               22711.870094564856+78964.8287593853i              22714.343650171846+78953.33689281829i             22715.732196505567+78942.0353563508i              22716.090971585745+78931.0463128764i              22715.477648629294+78920.41498457847i
585                                               23044.997799555713+79526.21196712158i             23046.983173740933+79514.31926258505i             23047.857627778536+79502.67194785629i             23047.682250018166+79491.39387020706i             23046.520608511597+79480.53072320472i
590                                               23379.352775736068+80085.32013166658i             23380.817435627283+80073.04281173719i             23381.14723767421+80061.06889922117i              23380.409414517384+80049.52369626988i             23378.673699928262+80038.45310356634i
595                                               23714.90222920843+80642.16105930982i              23715.81384690766+80629.51755007288i              23715.568854910147+80617.23840062608i             23714.24092256884+80605.45011449677i              23711.906215938765+80594.19851096446i
600                                               24051.613188674208+81196.74366528861i             24051.93978039415+81183.75462865423i              24051.09041316877+81171.19380333115i              24049.145482577318+81159.18861602616i             24046.187847616453+81147.78449125112i
605                                               24389.452563477458+81749.07803270013i             24389.162633360218+81735.7663900417i              24387.680017927545+81722.94966074264i             24385.0921240532+81710.75589109074i               24381.488756858784+81699.22977216984i
610                                               24728.38720841843+82299.17546773619i              24727.449896534577+82285.56641437729i             24725.306018922598+82272.52176481186i             24722.05027281836+82260.1698553636i               24717.77965345971+82248.5542792277i
615                                               25068.383995087814+82847.0485504546i              25066.769228997346+82833.16956056266i             25063.937087911134+82819.92717717802i             25059.98983081563+82807.44967058023i              25055.031876069188+82795.77914556742i
620                                               25409.40988941226+83392.71118051923i              25407.088538621832+83378.592002i                  25403.54230123807+83365.18425443373i              25398.88125997035+83352.61575904756i              25393.21747646891+83340.92671538745i
625                                               25751.432034917194+83936.17861724581i             25748.37606756158+83921.8512562611i               25744.091226777582+83908.31266705334i             25738.695669684443+83895.68981146599i             25732.309306642182+83884.02054049107i
630                                               26094.41784129717+84477.46751333731i              26090.60048234809+84462.9662081896i               26085.554014656336+84449.33341144261i             26079.404907278844+84436.69478768537i             26072.281107955747+84425.08536957398i
635                                               26438.33507773817+85016.59594181267i              26433.730967925494+85001.95712587923i             26427.90149117228+84988.26881469379i              26420.98165083642+84975.65491000049i              26413.107601894328+84964.14712997443i
640                                               26783.15197041997+85553.58341558329i              26777.73732512815+85538.84566914458i              26771.10525529933+85525.14253165912i              26763.399503738965+85512.59564868454i             26754.76458159811+85501.23290159946i
645                                               27128.83730352522+86088.45089923036i              27122.59007082792+86073.6548900755i               27115.137777038344+86059.97953402286i             27106.633090206244+86047.54369945162i             27097.22900350349+86036.37088285858i
650                                               27475.360523132364+86621.220812636i               27468.260540172123+86606.40922531567i             27459.9724969696+86592.80609109576i               27450.65815111736+86580.526952749i                27440.47907835551+86569.59034847659i
655                                               27822.691843224617+87151.91702605598i             27814.720990038153+87137.13447983337i             27805.583926189098+87123.64974215536i             27795.45163934874+87111.57445462322i              27784.494360835306+87100.92159914851i
660                                               28170.8023530745+87680.56484644688i               28161.94470307952+87665.8578019882i               28151.94774592032+87652.53926015613i              28140.991813869397+87640.71635926266i             28129.255837023036+87630.3959030434i
665                                               28519.66412521663+88207.1909948026i               28509.906091453653+88192.60764973074i             28499.040905961658+88179.50460684465i             28487.258331798283+88167.9838730686i              28474.746008930637+88158.04542923835i
670                                               28869.25032317484+88731.8235744063i               28858.58079949793+88717.41374793537i              28846.84172121048+88704.57687920278i              28834.232337637342+88693.40919050072i             28820.948975325868+88683.90317329262i
675                                               29219.53530816986+89254.49202992469i              29207.945804521853+89240.30703683202i             29195.329965414217+89227.78824737507i             29181.89654890359+89217.02542177282i              29167.850508110976+89208.00287519186i
680                                               29570.494743883668+89775.22709743382i             29557.9795148562+89761.3196117168i                29544.48696140163+89749.17188424745i              29530.23533736032+89738.86651266768i              29515.438123451768+89730.3789299786i
685                                               29922.105698532316+90294.0607454287i              29908.661864392863+90280.48465406548i             29894.295666967435+90268.76188693302i             29879.234805129803+90258.96715684338i             29863.701147025575+90251.06629147149i
690                                               30274.346743365175+90811.02610707487i             30259.97440279572+90797.83635433094i              30244.740755641164+90786.5931904835i              30228.88285494168+90777.36270099632i              30212.630772605007+90770.10036956816i
695                                               30627.19804675389+91326.15740395957i              30611.900380567204+91313.40982681335i             30595.808691619764+91302.70147428456i             30579.169253769825+91294.08904335153i             30562.22011341925+91287.51692166836i
700                                               30980.641463142965+91839.48986171854i             30964.424828285053+91827.24101700213i             30947.487798157796+91817.12306158117i             30930.085689306186+91809.18252608216i             30912.464245638363+91803.35193880639i
705                                               31334.660616049958+92351.05961798033i             31317.534629242436+92339.36660186891i             31299.768318722512+92329.8948127346i              31281.625818577457+92322.67982226552i             31263.36024346955+92317.64152725646i
710                                               31689.24097445223+92860.90362317431i              31671.218584870927+92849.82388375617i             31652.64247037839+92841.05401281737i              31633.785308223407+92834.617818009i               31614.907205408825+92830.42178623649i
715                                               32044.369921815727+93369.059534783i               32025.467472314453+93358.65067849193i             32006.10448877909+93350.63825428099i              31986.561865956795+93345.03349059807i             31967.10627119947+93341.7286825923i
720                                               32400.03681729853+93875.56560573148i              32380.274093641572+93865.88519838444i             32360.150664397628+93858.68531540496i             32339.95526276011+93853.96378338459i              32319.960629247493+93851.59792328374i
725                                               32756.233048452617+94380.46056761517i             32735.6333162034+94371.5659309759i                32714.779369468517+94365.23303538315i             32693.96734559013+94361.44547825138i              32673.475514194295+94360.06482651392i
730                                               33112.952075074885+94883.78350959551i             33091.542103790256+94875.73151427129i             33069.99107549389+94870.31918689163i              33048.60204027961+94867.5150666211i               33027.65819457514+94867.16419242919i
735                                               33470.189463820265+95385.5737537569i              33447.99953827541+95378.42060936846i              33425.78836095803+95373.98134695909i              33403.865344540274+95372.2086198024i              33382.517950430345+95372.93017432213i
740                                               33827.942913237704+95885.87072780433i             33805.00683152037+95879.67177134969i              33782.175909194135+95876.25676712197i             33759.76531106348+95875.56165966344i              33738.066041019105+95877.39615121725i
745                                               34186.21226913499+96384.71383605668i              34162.56732748382+96379.52331933854i              34139.16049639562+96377.18224376369i              34116.312020681966+96377.60903051197i             34094.31566268111+96380.59460281346i
750                                               34544.99953011492+96882.14232952808i              34520.686494462+96878.01320665887i                34496.75096976449+96876.79398947886i              34473.51754585413+96878.38477312632i              34451.281897189416+96882.55698764857i
755                                               34904.30884333159+97378.19517612684i              34879.37190760751+97375.17889197903i              34854.95821606576+97375.12750648116i              34831.39590465189+97377.92200178829i              34808.981650869515+97383.31362536918i
760                                               35264.14649054755+97872.91093180985i              35238.6332218815+97871.05721232662i               35213.79512076635+97872.2174628204i               35189.96300564386+97876.25278521852i              35167.433584950755+97882.89358394679i
765                                               35624.52086474897+98366.32761358592i              35598.48213573108+98365.68425891524i              35573.27651817937+98368.0975723378i               35549.236584109916+98373.40803218604i             35526.658037680114+98381.32457260799i
770                                               35985.44243756677+98858.48257526128i              35958.93234585583+98859.09525645556i              35933.41913305944+98862.80047910183i              35909.2361300894+98869.41738258496i               35886.67693880527+98878.63284121836i
775                                               36346.923717932514+99349.41238666128i             36319.99949356077+99351.32444690772i              36294.24151413501+99356.35764705969i              36269.982808947214+99364.30910465978i             36247.513717104484+99374.8430867281i
780                                               36708.97920245024+99839.15271712298i              36681.70110319709+99842.4049782186i               36655.76396026582+99848.79925560538i              36631.49937499472+99858.10999895837i              36609.19320169741+99869.97836728817i
785                                               37071.62531802169+100327.73822395981i             37044.05651333959+100332.36879879932i             37018.00843982432+100340.15410160621i             36993.81007910146+100350.84530963523i             36971.7415180256+100364.06002446418i
790                                               37434.880357355774+100815.20244645073i            37407.08680136286+100821.24655823321i             37380.998504097275+100830.44950843007i            37356.94057089964+100842.53864342834i             37335.185979211295+100857.10761395123i
795                                               37798.76440803633+101301.5777059344i              37770.81470213706+101309.06751470777i             37744.75919546526+101319.7112423587i              37720.91779655789+101333.21189677107i             37699.55497380773+101349.13884506302i
800                                               38163.299275913705+101786.8950124129i             38135.26452163281+101795.85944955752i             38109.316951136585+101807.96343670192i            38085.769892870216+101822.88519116218i            38064.87785077597+101840.16952913406i
805                                               38528.50840352401+102271.18397803142i             38500.46204621484+102281.64858915636i             38474.69950332881+102295.22852381525i             38451.52607860471+102311.57681707377i             38431.18480258951+102330.21353694417i
810                                               38894.41678432188+102754.47273763371i             38866.434448448534+102766.45953440962i            38840.935776683895+102781.52717516953i            38818.21654394103+102799.30318625555i             38798.506747365434+102819.2827650692i
815                                               39261.050873619715+103236.78787664669i            39233.210190206046+103250.31519783786i            39208.05578379261+103266.87824941186i             39185.87233883307+103286.07879256703i             39166.87521091319+103307.3871110344i
820                                               39628.43849686123+103718.15436619829i             39600.81892389676+103733.23674831654i             39576.09051957483+103751.298748423i               39554.525261182534+103771.91618098013i            39536.32220953813+103794.53445704235i
825                                               39996.60875614182+104198.59550554137i             39969.29139258117+104215.24356330106i             39945.07185538958+104234.80378105145i             39924.2077455146+104256.82592462773i              39906.88013429887+104280.73066187394i
830                                               40365.59193562178+104678.1328715998i              40338.659329739945+104696.35318834001i            40315.03243351518+104717.4065343886i              40294.95275299242+104740.81660946275i             40278.581637609575+104765.9795606052i
835                                               40735.419406615656+105156.78627542101i            40708.955359309046+105176.58130362982i            40686.00556272642+105199.11825214022i             40666.79366334086+105223.89482615524i             40651.45952265446+105250.28297154674i
840                                               41106.12353293354+105634.57372521136i             41080.21289672955+105655.9416971829i              41058.02511559279+105679.94821966166i             41039.76416932285+105706.06516867178i             41025.54663631775+105733.64070992915i
845                                               41477.737577113716+106111.51139561259i            41452.466051442476+106134.44624419823i            41431.12542798335+106159.90375520324i             41413.89817428377+106187.33023902087i             41400.87576609749+106216.05060763535i
850                                               41850.29560805856+106587.61360276988i             41825.7495314713+106612.10489221876i              41805.34120132341+106638.99020679975i             41789.22969316853+106667.6906575202i              41777.479541294124+106697.50853827687i
