% Model:              ParameterStudy_2Array_bu_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 18:22
% Table:              Table 1 - bu_b (acpr.p_t*2*pi*r)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*r (N)                       g=0.04, acpr.p_t*2*pi*r (N)                       g=0.06, acpr.p_t*2*pi*r (N)                       g=0.08, acpr.p_t*2*pi*r (N)                       g=0.1, acpr.p_t*2*pi*r (N)                        g=0.12, acpr.p_t*2*pi*r (N)                       g=0.14, acpr.p_t*2*pi*r (N)                       g=0.16, acpr.p_t*2*pi*r (N)                       g=0.18, acpr.p_t*2*pi*r (N)                       g=0.2, acpr.p_t*2*pi*r (N)
1440                                              41487.16248875119+92698.59595352324i              41354.17662204647+92684.01314475939i              41234.52760057004+92710.99509294174i              41129.53887418938+92759.04298638513i              41044.44750409728+92828.74196871702i              40980.752842941176+92910.34443849963i             40939.58624334222+92997.78999529016i              40920.98063657933+93086.12326883822i              40924.90378799982+93175.2660789168i               40947.28835893741+93253.13035821833i
1445                                              41789.12119611881+92952.69878455126i              41654.93163074439+92941.54289205975i              41534.966750715445+92972.08564899299i             41430.469673683016+93023.55920068308i             41346.62311437487+93096.38917803379i              41284.80135644694+93180.65082636818i              41245.99324107491+93270.15696226378i              41230.06969152323+93359.86808170474i              41236.84041575639+93449.68334902983i              41262.036085148946+93527.48303249429i
1450                                              42092.11381522087+93206.00194117143i              41956.81323794126+93198.33543418527i              41836.638087474945+93232.47959416625i             41732.744574177006+93287.39513663808i             41650.25479258877+93363.34723994887i              41590.41123184835+93450.23468162859i              41554.05399794173+93541.74578613024i              41540.88657220589+93632.76069280306i              41550.55649303443+93723.16090032591i              41578.58933643536+93800.80105737003i
1455                                              42396.13732872422+93458.51078319698i              42259.82120178272+93454.39351027792i              42139.54373488298+93492.17639230822i              42036.3674771918+93550.54647380723i               41955.3474887737+93629.60772477581i               41897.58764209768+93719.08336632677i              41863.773048574076+93812.53976969446i             41853.43434588683+93904.7807487106i               41866.05289276582+93995.6753625799i               41896.946230245216+94073.05889248117i
1460                                              42701.189525056594+93710.231484089i               42563.95600064249+93709.72054029115i              42443.68642445688+93751.17605162546i              42341.34275317543+93813.00930462981i              42261.90646124878+93895.16249785128i              42206.33589180814+93987.18444123967i              42175.1548751524+94082.52234679199i               42167.71584590095+94175.90799174937i              42183.33008623582+94267.20345966856i              42217.10433964589+94344.23112127907i
1465                                              43007.2691026453+93961.1709683734i                42869.218929050854+93964.32056561936i             42749.06958129666+94009.47906961328i              42647.675316936846+94074.78008476809i             42569.93734091035+94160.00367644735i              42516.6614704969+94254.52563082117i               42488.203950087154+94351.6770556934i              42483.733704786726+94446.1222427191i              42502.38816812436+94537.72200176437i              42539.06071178715+94614.29245232925i
1470                                              43314.37576899144+94211.33683761278i              43175.61218829028+94218.19817907944i              43055.69740517348+94267.08636813075i              42955.37069822224+94335.85557460757i              42879.446190911185+94424.12357904171i             42828.570101432+94521.09478120883i                42802.924774674364+94619.9875072312i              42801.49038395699+94715.40337952063i              42823.22687853885+94807.207874603i                42862.81188404752+94883.21771875762i
1475                                              43622.51033326318+94460.73728548191i              43483.138970831504+94471.3584445843i              43363.57494548154+94523.99921921136i              43264.43510645117+94596.23277242933i              43190.43956085861+94687.51466725343i              43142.06778548557+94786.87981239473i              43119.3219133431+94887.43734802306i               43120.988199443964+94983.73131214092i             43145.84562188083+95075.63802625074i              43188.35389762653+95150.9818762603i
1480                                              43931.67479128146+94709.38100210272i              43791.80353734545+94723.80680708092i              43672.70816911993+94780.21916161798i              43574.875488721395+94855.90883978114i             43502.92453462555+94950.16948133471i              43457.16083914973+95051.86866493858i              43437.400022721646+95154.0102194661i              43442.22934329485+95251.08595450089i              43470.24348213819+95342.98945184411i              43515.682308515534+95417.56000008578i
1485                                              44241.87240165178+94957.27706903045i              44101.611285123894+94975.54899363552i             43983.104020205006+95035.74791032542i             43886.699580162276+95114.88101982808i             43816.908771275026+95212.08056939414i             43773.85592633599+95316.04924167122i              43757.16387519081+95419.68971300308i              43765.21590035468+95517.44719375439i              43796.41923452686+95609.2391768018i               43844.79219576339+95682.92728144919i
1490                                              44553.10775202672+95204.43484510385i              44412.56880707544+95226.59090632576i              44294.77047079767+95290.58725757794i              44199.915945857334+95373.14654940546i             44132.40053816137+95473.24041168674i              44092.16008320154+95579.40934551056i              44078.61837655247+95684.45932243748i              44089.9498601072+95782.79485761689i               44124.37135329739+95874.36423905281i              44175.67816703828+95947.05902375451i
1495                                              44865.38681444709+95450.86384449987i              44724.68394026467+95476.93850795597i              44607.71656179816+95544.73896842744i              44514.53401368569+95630.70256572802i              44449.408735779+95733.64134038606i                44412.08073566102+95841.93661381007i              44401.76857730862+95948.3023938727i               44416.43312340476+96047.10868035967i              44454.09801565609+96138.34167078132i              44508.33436150966+96209.93063924264i
1500                                              45178.716988848035+95696.57360806296i             45037.965803183324+95726.59770177829i             44921.95243325548+95798.20467070627i              44830.564097383445+95887.54600866268i             44767.942913817+95993.27545594984i                44733.625709218475+96103.61845025154i             44726.61967756245+96211.20207415706i              44744.6675039959+96310.368268115i                 44785.59710178869+96401.14848025105i              44842.75445031561+96471.51764559836i
1505                                              45493.10713396716+95941.57356892453i              45352.424821091525+95975.57420616242i             45237.489343513305+96050.98574082155i             45148.01740937993+96143.67351966792i              45088.01327804016+96252.13454097933i              45056.80323078514+96364.4419551385i               45053.17702515575+96473.14125852325i              45074.65472477723+96572.55306417143i              45118.86619110452+96662.76163424717i              45178.93163446814+96731.79566555213i
1510                                              45808.567584952674+96185.87291400295i             45668.07273876693+96223.87342565328i              45554.33967670301+96303.08318662252i              45466.90606297834+96399.08133849276i              45409.630687682766+96510.2099726294i              45381.621922359634+96624.39385498448i             45381.44610712407+96734.10253826033i              45406.396408834626+96833.6423148812i              45453.902554786495+96923.15804166043i             45516.85864081194+96990.74042541033i
1515                                              46125.11015715805+96429.48044250652i              45984.92262027392+96471.50031967668i              45872.51693816173+96554.4975284033i               45787.24306351555+96653.76519868062i              45732.80664323104+96767.49263459984i              45708.09078647113+96883.4604323089i               45711.43253447392+96994.0681491881i               45739.89406539809+97093.61503691271i              45790.70314489579+97182.31453869955i              45856.52771602379+97248.32775736699i
1520                                              46442.74813574734+96672.40442305105i              46302.98883543508+96718.4592702126i               46192.03573760345+96805.22867955669i              46109.0422888608+96907.720223388i                 46057.553264490496+97023.97282974911i             46036.21918348292+97141.62745665578i              46043.14202036816+97253.01992175508i              46075.149070930944+97352.4499863924i              46129.26458029729+97440.20787625006i              46197.930619104656+97504.53360318823i
1525                                              46761.49625089434+96914.6524508989i               46622.28703282332+96964.75395000754i              46512.911759978386+97055.27582803796i             46432.318458264584+97160.9408222318i              46383.883259091286+97279.64019443649i             46366.01680082604+97398.88011765081i              46376.58035198449+97510.93923353594i              46412.16264562549+97610.12563063641i              46469.583129772844+97696.81470975759i             46541.058612752575+97759.33402043146i
1530                                              47081.370638514505+97156.23130670821i             46942.83409925652+97210.38719257785i              46835.16172401689+97304.63731998409i              46757.08709078778+97413.4205908333i               46711.80988153796+97534.48361571238i              46697.493614523926+97655.20296115316i             46711.753356448346+97767.80696487724i             46750.935825692526+97866.62012297347i             46811.65469265521+97952.11159210539i              46885.902453970804+98012.70519129204i
1535                                              47402.388786685944+97397.14681864245i             47264.64810618559+97455.36086561924i              47158.80332875203+97553.31054697571i              47083.3644528387+97665.15221399872i               47041.346883227394+97788.49115228093i             47030.659843309855+97910.57982924079i             47048.66686099038+98023.60345827456i              47091.46943189681+98121.91128123135i              47155.4747775559+98206.07496973088i               47232.45238440651+98264.62343423658i
1540                                              47724.56946801804+97637.40372892725i              47587.74824290993+97699.67574916375i              47483.85518835239+97801.29183799749i              47411.16749558029+97916.12737379536i              47372.508453818504+98041.64996038833i             47365.52589585918+98164.99380497338i              47387.326648244954+98278.30848246515i             47433.76403480898+98375.976570305i                47501.038479543975+98458.68118230993i             47580.69812092041+98515.06521841144i
1545                                              48047.93265849017+97877.00556690662i              47912.15473748231+97943.33141990159i              47810.336755836455+98048.57635758792i             47740.51378261754+98166.33666356695i              47705.30915454131+98293.94622542955i              47702.10231172165+98418.42716264853i              47727.73840690999+98531.90120138244i              47777.81991739006+98628.79308923017i              47848.34045646516+98709.90646619888i              47930.628846769905+98764.00718104492i
1550                                              48372.49944336793+98115.954529572i                48237.88876582743+98186.32614298952i              48138.26823627453+98295.15801122556i              48071.42140870276+98415.7695090175i               48039.763844177025+98545.36510028545i             48040.39969659418+98670.8613242557i               48069.907678564545+98784.3601487952i              48123.63703552506+98880.33756305443i              48197.374904824224+98959.72696171822i             48282.23320405221+99011.42614753688i
1555                                              48698.29191101054+98354.25137127256i              48564.972349871685+98428.65677268337i             48467.670490336175+98541.02935912804i             48403.908910223196+98664.41409727247i             48375.887598391906+98795.89065107789i             48380.42865274324+98922.27682273833i              48413.83980141811+99035.66320892806i              48471.21497711336+99130.58633971805i              48548.135535955786+99208.11872436204i             48635.49928779313+99257.2991542614i
1560                                              49025.3330356148+98591.89530377126i               48893.42824562835+98670.3186628323i               48798.56492914023+98786.18153961649i              48737.9951684441+98912.2573147881i                48713.6956233957+99045.50581122264i               48722.19970533532+99172.6532725691i               48759.53985162976+99285.78760339644i              48820.55292045832+99379.51539211505i              48900.61555295139+99455.05773985176i              48990.41464221213+99501.60347378242i
1565                                              49353.64654989657+98828.88390781224i              49223.27982244808+98911.3055884416i               49130.973401344745+99030.6042026253i              49073.69930642183+99159.28469489256i              49053.203164830964+99294.19234389732i             49065.72322563737+99421.96934805984i              49107.01258311771+99534.70988467142i              49171.6495926478+99627.10032533808i               49254.80762900777+99700.5199429033i               49346.96625956351+99744.3166422846i
1570                                              49683.256809075625+99065.21305740155i             49554.550934374594+99151.6096790581i              49464.918073810084+99274.28545452454i             49411.04058075538+99405.48037554871i              49394.42541291379+99541.9308141303i               49411.00935194753+99670.20276967018i              49456.26236657277+99782.40593619987i              49524.5032285948+99873.31638905151i               49610.70388772268+99944.4812395008i               49705.1405820481+99985.41648870098i
1575                                              50014.188647424984+99300.87685745042i             49887.26578536835+99391.2213650339i               49800.42130692127+99517.21181460732i              49750.03826931509+99650.82706787824i              49737.37740488934+99788.70057016694i              49758.06790927295+99917.33029847968i              49807.293128614445+100028.85097916746i            49879.111531444534+100118.13849484429i            49968.29588587423+100186.91753233659i             50064.92350710726+100224.88116525878i
1580                                              50346.46722898194+99535.86759584004i              50221.448789236165+99630.12933688748i             50137.50552590826+99759.36818402092i              50090.711556103255+99895.3060357135i              50082.07392595826+100034.47973450687i             50106.90832865801+100163.3277389066i              50160.108291807774+100274.0195857903i             50235.47163501669+100361.54123827824i             50327.57459916233+100427.80474906685i             50426.30039635968+100462.68917883135i
1585                                              50680.1178938331+99770.17571021956i               50557.12442617672+99868.32051873463i              50476.19308963721+100000.73782719082i             50433.07941463866+100138.89708658449i             50428.52940962748+100279.24520515703i             50457.539567146225+100408.16994951606i            50514.71071639593+100517.88569892949i             50593.580068883064+100603.49892531204i            50688.530411359316+100667.11887288923i            50789.25608850143+100698.81942261661i
1590                                              51015.166001720616+100003.78977023733i            50894.31709721673+100105.78005563741i             50816.50615807149+100241.30236606172i             50777.16049087203+100381.57857391007i             50776.757838738704+100522.9726659866i             50809.97002936534+100651.83086179888i             50871.10264450056+100760.42265768188i             50953.43272661372+100843.9856026477i              51051.15310717693+100904.83597493342i             51153.77491623308+100933.25120749866i
1595                                              51351.63677443503+100236.69647496319i             51233.050978132866+100342.49131529764i            51158.46655993627+100481.04178719364i             51122.97298712861+100623.32741050664i             51126.77264825349+100765.63660715119i             51164.20749151617+100894.28350658235i             51229.28564742461+101001.60322852364i             51315.02483774967+101082.97509147452i             51415.431869163745+101140.9322478535i             51519.84072732557+101165.96429249902i
1600                                              51689.55513888776+100468.88066611107i             51573.349874370164+100578.4359038485i             51502.0956619219+100719.93446182463i              51470.53454806349+100864.11909322818i             51478.5866306769+101007.21035445057i              51520.259028714456+101135.50004753353i            51589.26057679332+101241.39964153142i             51678.35094380991+101320.4410240587i              51781.35527879121+101375.38404005532i             51887.43690971787+101396.93891363232i
1605                                              52028.94557227803+100700.32535644688i             51915.23707847503+100813.59369567416i             51847.41424073358+100957.95717756203i             51819.86215018795+101103.9277378566i              51832.21184525255+101247.66610738434i             51878.13094637126+101375.45182139512i             51951.0275199634+101479.7836310106i               52043.40487874016+101556.35688251677i             52148.91132181984+101608.1678898161i              52256.54642059638+101626.15581058024i
1610                                              52369.83195115185+100931.01177329091i             52258.73523149424+101047.9428767262i              52194.442359369714+101195.08518287604i            52170.97199523325+101342.72612487i                52187.659531744896+101486.97498546545i            52237.828716378455+101614.10938422433i            52314.585760208734+101716.72647995359i            52410.179753953256+101790.6960390864i             52518.087397912364+101839.26055871404i            52627.15181909643+101853.59625043254i
1615                                              52712.237405819535+101160.91941642387i            52603.866189770786+101281.46000086768i            52543.19924876957+101431.29224242966i             52523.879409688736+101580.48575370389i            52544.94002965629+101725.10708189395i             52599.356918524056+101851.44256289296i            52679.9337420551+101952.19906755001i              52778.66794810664+102023.43179727287i             52888.87033439051+102068.63906363671i             52999.23530244866+102079.24204807673i
1620                                              53056.184181681274+101390.02612981072i            52950.65089842638+101514.12005847046i             52893.70319600266+101666.55070295233i             52878.59875009449+101817.17690658472i             52904.06270359019+101962.03152404455i             52962.71918785379+102087.42051123691i             53047.06904194317+102186.17191906013i             53148.861101591385+102254.5374330274i             53261.246403906625+102296.28070676856i            53372.77874484433+102303.07558239528i
1625                                              53401.693508797485+101618.30818641171i            53299.10927278605+101745.89655648851i             53245.971440037436+101900.83156924238i            53235.14331579956+102052.76871969736i             53265.03587531319+102197.71653956095i             53327.91816814857+102322.01176982994i             53415.988344367994+102418.6152572289i             53520.75011565917+102483.98623538681i             53635.20134563299+102522.16310289604i             53747.763738841335+102525.07980804887i
1630                                              53748.785481127925+101845.74038469921i            53649.26008884239+101976.76160890014i             53600.02007597664+102134.10458845629i             53593.52526953962+102287.22926155428i             53627.86676304223+102432.12952790175i             53694.9554717645+102555.18432883728i              53786.68742355467+102649.49905453614i             53894.325155931045+102711.7515458343i             54010.72038965488+102746.26420349296i             54124.17163838556+102745.23826222155i
1635                                              54097.478946401425+102072.29615631224i            54001.12088374083+102206.6860365694i              53955.86396859747+102366.33834228796i             53953.75556648674+102520.52561721641i             53992.56142832153+102665.2371354234i              54063.83164616255+102786.90569272527i             54159.161130475586+102878.7930854649i             54269.57565999107+102937.80679574201i             54387.788283943875+102968.56231712637i            54501.983602886605+102963.53506602871i
1640                                              54447.79140790519+102297.94768281568i             54354.70786716922+102435.63947523524i             54313.51667577134+102597.50034609779i             54315.84389216333+102752.62397742407i             54359.12473064283+102897.00533378104i             54434.54614687136+103017.14294631561i             54533.403385102334+103106.466978113i              54646.49034865609+103162.12554137535i             54766.38932332315+103189.03612564658i             54881.18064156349+103179.95492039142i
1645                                              54799.738938786955+102522.66602127974i            54710.03584428184+102663.59049040294i             54672.99038236527+102827.55715306444i             54679.79860966741+102983.48973155193i             54727.56028998901+103127.3995004996i              54807.09731696969+103245.86282122949i             54909.40717350258+103332.4902645137i              55025.057240388946+103384.68149587772i            55146.50737983292+103407.66469602265i             55261.74365724135+103394.48309619541i
1650                                              55153.33610986428+102746.42123607273i             55067.11815079959+102890.50669780195i             55034.29584484975+103056.47446196376i             55045.626716121784+103213.08756333182i            55097.870457222336+103356.3845006687i             55181.482372761166+103473.03176187698i            55287.1645493946+103556.83242894271i              55405.263668319145+103605.44855789786i            55528.12593366755+103624.42748742571i             55643.65348876239+103607.10541873277i
1655                                              55508.595931263546+102969.18253644825i            55425.96660059084+103116.35488809501i             55397.44234713034+103284.21723011172i             55413.33380860983+103441.38154823071i             55470.056292210764+103583.9247689462i             55557.69739538007+103698.61599042009i             55666.666639705276+103779.46295381842i            55787.09629921187+103824.40083649778i             55911.22810397657+103839.30435358643i             56026.890951146095+103817.80824654437i
1660                                              55865.529808468695+103190.91841762287i            55786.59144600868+103341.10115437265i             55762.43766718782+103510.74978519203i             55782.92405966425+103668.33525141575i             55844.11754939645+103809.98439100196i             55935.737327856004+103922.58156984272i            56047.90365353756+104000.351362675i               56170.54115367573+104041.51267212699i             56295.796678777355+104052.27554037125i            56411.43687267419+104026.57844494027i
1665                                              56224.14751282986+103411.59680426812i             56149.001351102524+103564.711021151i              56129.288054948316+103736.03593972909i            56154.400201415796+103893.91182549144i            56220.052670496785+104034.52718362863i            56315.59597723031+104144.89446493388i             56430.86489392814+104219.46725989904i             56555.58362698133+104256.75865357874i             56681.814143122734+104263.3216787436i             56797.27212806833+104233.4033544672i
1670                                              56584.45716670677+103631.1851946323i              56513.203377534446+103787.1495734331i             56497.99822092196+103960.03910422378i             56527.7635189392+104118.07410673355i              56597.85878384769+104257.51677259171i             56697.26602107108+104365.52060014122i             56815.538771814136+104436.78036694224i            56942.20850966537+104470.11363093974i             57069.26270483254+104472.42377337113i             57184.37766690833+104438.27075497806i
1675                                              56946.465243077946+103849.65080389814i            56879.202983061354+104008.38158458094i            56868.5713353005+104182.72239863404i              56903.01385174739+104340.78470918055i             56977.53170988969+104478.91666817099i             57080.73901782704+104584.42591443246i             57201.91282141805+104652.26055504676i             57330.400007306685+104681.552724657i              57458.1243170099+104679.56318724815i              57572.73453675468+104641.16882574664i
1680                                              57310.17657930652+104066.96070521789i             57247.00403219617+104228.37164162242i             57241.009037175034+104404.04876115537i            57280.14960323214+104562.00611588152i             57359.06597219835+104698.69033696501i             57466.00542042917+104801.57641263885i             57589.973716493776+104865.8778742013i             57720.14175870483+104891.05133096775i             57848.38069671326+104884.721622842i               57962.32390011949+104842.0861024984i
1685                                              57675.59440481206+104283.08196692403i             57616.60881855064+104447.08426698582i             57615.31145318758+104623.98105332363i             57659.16775726747+104781.70076605644i             57742.45481343145+104916.80127024038i             57853.05459236937+105016.93821305833i             57979.70728673484+105077.60257866069i             58111.41685188238+105098.58512406275i             58240.01333911732+105087.88110036854i             58353.127044946676+105041.011432108i
1690                                              58042.720381383+104497.98178487501i               57988.01809819574+104664.4840347453i              57991.477225137096+104842.48216044785i            58040.06390136587+104999.83113828671i             58127.69021551755+105133.21304827945i             58241.874825682964+105230.47759143489i            58371.098533653174+105287.40514907862i            58504.207837277194+105304.13005541723i            58633.003526755245+105289.02393387792i            58745.12538803722+105237.93392588283i
1695                                              58411.55465727473+104711.6276079735i              58361.231133578454+104880.53568254525i            58369.50354562829+105059.51508669218i             58422.83225591748+105216.35982871785i             58514.76292343263+105347.88940016486i             58632.453360155494+105442.16102120405i            58764.13164542551+105495.25631183226i             58898.49673767435+105507.66235088347i             59027.33233331869+105488.13270595403i             59138.30047119704+105432.84291246385i
1700                                              58782.09593108243+104923.98725637811i             58736.245746743836+105095.20421451224i            58749.38620120891+105275.04304412936i             58807.465708310556+105431.24962394492i            58903.66247174338+105560.7942595186i              59024.7764032257+105651.95521011802i              59158.790010139295+105701.12705516772i            59294.265054390125+105709.15850610042i            59422.98062180375+105685.19024183729i             59532.63394997807+105625.7278913112i
1705                                              59154.34152783639+105135.02903120755i             59113.05838125381+105308.45499815381i             59131.11962189562+105489.02953507192i             59193.95585149884+105644.46356840232i             59294.37721350957+105771.89181533609i             59418.82914971335+105859.82713361998i             59555.05622699383+105904.98864391318i             59691.49376944435+105908.5952810111i              59819.929036787515+105880.17958396101i            59928.10757488966+105816.57848788582i
1710                                              59528.287484172106+105344.72181356061i            59491.664171964294+105520.25385210449i            59514.69693645521+105701.43842736445i             59582.29302625312+105855.96502595623i             59686.894350571805+105981.14655878305i            59814.595801320196+106065.74406497176i            59952.91211507322+106106.81263198401i             60090.1633435134+106105.94969416995i              60218.15799083479+106073.08396766182i             60324.70316534387+106005.38441159854i
1715                                              59903.9286420283+105553.03515471864i              59872.05702123689+105730.567124997i               59900.1100323592+105912.23402213106i              59972.466366093286+106065.71773558397i            60081.19996482957+106188.52332546274i             60212.059585186595+106269.6736034887i             60352.33871945902+106306.57087409965i             60490.253709509736+106301.19901763755i            60617.647645079654+106263.88679924356i            60722.40257651071+106192.13541755901i
1720                                              60281.25874962606+105759.93935314995i             60254.229680857796+105939.36176476549i            60287.34961964776+106121.38111389741i             60364.463844381055+106273.68586120577i            60477.279049911805+106393.98733400929i            60611.20277082056+106471.58369889978i             60753.31631444004+106504.23553706215i             60891.744261918946+106494.32077328475i            61018.377884289795+106452.57163703257i            61121.187659662035+106376.82127322735i
1725                                              60660.27056867208+105965.4055208503i              60638.17383840983+106146.60537804662i             60676.4052975296+106328.84504259644i              60758.27232276225+106479.83403566404i             60875.11554253668+106597.504220055i               61012.0066859211+106671.44267608087i              61155.82440382552+106699.77911126456i             61294.613841957624+106685.29273126203i            61420.32828673008+106639.12217669944i             61521.04021635085+106559.43173084556i
1730                                              61040.95598618632+106169.40563699171i             61023.880207039074+106352.26627938902i            61067.265623283456+106534.59173801984i            61153.877600239386+106684.12739904861i            61274.69235369805+106799.0400672806i              61414.45172999562+106869.21925684078i             61559.84171832637+106893.17442312042i             61698.84071886512+106874.0929114619i              61823.478089314274+106823.52224126787i            61921.94194744618+106739.95650673586i
1735                                              61423.30612978438+106371.91258879479i             61411.33861745554+106556.31353018731i             61459.91818196155+106738.5877560477i              61551.26446235563+106886.53163154409i             61675.9913980322+106998.56143693451i              61818.51738637682+107064.88258191677i             61965.34621021698+107084.39464906383i             62104.40256775215+107060.69958865504i             62227.806148796284+107005.75577708814i            62323.87439761351+106918.38526802576i
1740                                              61807.311484960584+106572.90019959037i            61800.53811109139+106758.7169672617i              61854.34965661043+106940.80030738396i             61950.41672974255+107087.01298133885i             62078.993622932074+107196.03539153353i            62224.18223195441+107258.40223263881i             62372.31504545074+107273.41333174179i             62511.27644443385+107245.09130207835i             62633.29089954568+107185.80685599528i             62726.8188963659+107094.707627808i
1745                                              62192.962013167045+106772.34324395782i            62191.46703330822+106959.44722120886i             62250.54589779549+107141.19727862268i             62351.317305717675+107285.53828740244i            62483.67903544211+107391.42951921001i             62631.42394544657+107449.74825293176i             62780.72459366017+107460.20439900579i             62919.43875795093+107427.24686997155i             63039.9103089717+107363.6596847656i               63130.75649654716+107268.91314908618i
1750                                              62580.24726908845+106970.21744996759i             62584.11312558206+107158.4757247533i              62648.49199193535+107339.74724634684i             62753.948222389234+107482.07499835477i            62890.026727723816+107584.71195519075i            63040.21931347677+107638.891171907i               63190.550416397615+107644.7421862334i             63328.86524139753+107607.14540970039i             63447.64183136704+107539.29862197071i             63535.66791193275+107440.9913581664i
1755                                              62969.15651608001+107166.49948883643i             62978.4636156402+107355.77471133784i              63048.172327531836+107536.4194842723i             63158.29068459322+107676.59118698614i             63298.014900856724+107775.85140245176i            63450.54423576313+107825.80202918228i             63601.767254185055+107827.00146244542i            63739.53092192256+107784.7663638961i              63856.46236131455+107712.70820282432i             63941.533454058+107610.93176750252i
1760                                              63359.67883816891+107361.16695233643i             63374.50530431085+107551.31720486438i             63449.57065879526+107731.1839641125i              63564.32511176465+107869.05556189785i             63707.62088682209+107964.81715153923i             63862.3737284938+108010.45240021056i              64014.34901300917+108006.95746067277i             64151.41009067608+107960.08953285994i             64266.348187618634+107883.87317224324i            64348.33297103469+107778.723908591i
1765                                              63751.80324759865+107554.1983184071i              63772.22465006765+107745.0769982884i              63852.670165993026+107924.01135066617i            63972.03117793612+108059.4374750834i              64118.82116894673+108151.57910018694i             64275.68192744066+108192.81442501527i             64428.26875082763+108184.58591281484i             64564.476273694345+108133.09511358819i            64677.274949016464+108052.77852619698i            64756.04578829998+107944.35737447074i
1770                                              64145.51878666569+107745.57290558258i             64171.60784469119+107937.0286298051i              64257.453512052736+108114.87299158904i            64381.38784776083+108247.7069286509i              64531.59140077844+108336.10777315508i             64690.44209043093+108372.86083950377i             64843.49866489153+108359.86308925586i             64978.70220459906+108303.76374539055i             65089.21759265244+108219.40956135027i             65164.65065338442+108107.82187198108i
1775                                              64540.81462263075+107935.27081707653i             64572.64088878687+108127.14734385852i             64663.902894980514+108303.74090252598i            64792.373411135515+108433.83457819371i            64945.9064237541+108518.37434261237i              65106.62660014227+108550.56500928999i             65260.01008063837+108532.76584340681i             65394.05980013475+108472.07656217039i             65502.150336603874+108383.75193280485i            65574.1256855959+108269.10728322124i
1780                                              64937.680134835566+108123.27287517882i            64975.30965697391+108315.4090510932i              65072.000095706164+108490.58774834986i            65204.96551423387+108617.79173572492i             65361.74028385444+108698.35064952596i             65524.20696755794+108725.90096675746i             65677.77344283441+108703.27166106718i             65810.5201395222+108638.01525115642i              65916.04663752724+108545.79171960895i             65984.4483321864+108428.20373590241i
1785                                              65336.10499295094+108309.56054708667i             65379.5999578168+108501.79028020805i              65481.72652113221+108675.38682082988i             65619.14118814464+108799.55037100204i             65779.06624751688+108876.00922621902i             65943.15383673219+108898.84345111853i             66096.75830990949+108871.3587146567i              66228.05344854495+108801.56211780944i             66330.8791645248+108705.51549757368i              66395.59533181437+108585.10168182371i
1790                                              65736.07922566257+108494.11586309431i             65785.4975861166+108686.26812491384i              65893.06324207982+108858.11201386867i             66034.87687474868+108979.08311284869i             66197.85681736867+109051.32332054814i             66363.43699144849+109069.36795209225i             66516.93335220538+109037.00592207818i             66646.62908940873+108962.7001565793i              66746.61978030283+108862.91041879245i             66807.54268696821+108739.79198275524i
1795                                              66137.5932788505+108676.9213283835i               66192.98836736566+108868.82018692174i             66305.99102621421+109038.73779675327i             66452.14845017796+109156.36325031701i             66618.08374797544+109224.26692175765i             66785.02536441425+109237.4507561354i              66938.26635486662+109200.1930098487i              67066.21555719811+109121.41312675644i             67163.23953063243+109017.96429710425i             67220.26564536657+108892.26600273859i
1800                                              66540.63806300836+108857.9598294209i              66602.05819416941+109049.4245156737i              66720.49036569982+109217.23918589993i             66870.93124598962+109331.36473428737i             67039.71806214201+109394.81478812607i             67207.88704954987+109403.0689961722i              67360.72422625712+109360.90058011886i             67486.78048378628+109277.68563312967i             67580.70864297035+109170.66569862189i             67633.73869271917+109042.51570586574i
1805                                              66945.20498914877+109037.21453640937i             67012.69305432161+109228.05954586706i             67136.54149985351+109393.59171643881i             67291.20006840919+109504.06217988825i             67462.730068302+109562.94247660953i               67631.98931810247+109566.20070391132i             67784.27301266353+109519.11018127373i             67908.29065011711+109431.50321025323i             67998.99653513332+109321.00403636567i             68047.93555692598+109190.53375767528i
1810                                              67351.28599301339+109214.66880299826i             67424.87905056213+109404.70403371002i             67554.12443269363+109567.77141348159i             67712.92921590268+109674.4308700301i              67887.08937930303+109728.62637436084i             68057.29863905998+109726.8248645811i              68208.87791946558+109674.80438104396i             68330.7120073669+109582.85240984698i              68418.07183462231+109468.96966788046i             68462.8292228766+109336.31363100366i
1815                                              67758.87354743884+109390.30606455768i             67838.60241198924+109579.33699301907i             67973.21894593535+109739.75476404236i             68136.09249550717+109842.44676036091i             68312.7649332787+109891.84373208907i              68483.78070449826+109884.92147375885i             68634.50334027893+109827.96684175871i             68754.00970770806+109731.72089000957i             68837.90240932383+109614.55399465295i             68878.39196213426+109479.84971130059i
1820                                              68167.9606627709+109564.10973632787i              68253.8494972982+109751.93763192826i              68393.80460731455+109909.51869113644i             68560.6632383314+110008.08648583438i              68739.72501695307+110052.57269916049i             68911.40046037626+110040.47159572433i             69061.11289380217+109978.58239736207i             69178.14814522339+109878.09750555102i             69258.45540989932+109757.74956206066i             69294.5953738685+109621.13740365187i
1825                                              68578.54087557588+109736.06311294103i             68670.60679010258+109922.48529141057i             68815.86077513198+110077.04052838887i             68986.61431462647+110171.32736904926i             69167.9372919304+110210.79236006859i              69340.12214326693+110193.45742310846i             69488.6694689631+110126.63712995779i              69603.09100719483+110021.97239796791i             69679.69732427031+109898.55015851956i             69711.41043972703+109760.1732377787i
