% Model:              ParameterStudy_2Array_r1u_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 17:16
% Table:              Table 4 - r1u_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*a (N)                       g=0.04, acpr.p_t*2*pi*a (N)                       g=0.06, acpr.p_t*2*pi*a (N)                       g=0.08, acpr.p_t*2*pi*a (N)                       g=0.1, acpr.p_t*2*pi*a (N)                        g=0.12, acpr.p_t*2*pi*a (N)                       g=0.14, acpr.p_t*2*pi*a (N)                       g=0.16, acpr.p_t*2*pi*a (N)                       g=0.18, acpr.p_t*2*pi*a (N)                       g=0.2, acpr.p_t*2*pi*a (N)
780                                               42039.21520172609+105456.5361259429i              42092.7726468824+105623.50868335998i              42158.15397240463+105777.43305790823i             42233.09376856703+105913.4515723057i              42315.3187238941+106029.6927541371i               42402.87869342369+106127.96608365304i             42493.960128876424+106210.54455324025i            42586.911539012035+106275.74078538093i            42680.18561114475+106327.72566094462i             42772.54409896547+106365.83912062302i
785                                               42453.12059877816+105933.76198613213i             42509.89873621757+106102.86352506495i             42578.58654037333+106258.40182702143i             42656.851009494894+106395.50955729911i            42742.35395613283+106512.33304174588i             42833.09045869743+106610.72421500251i             42927.19823508916+106693.00487060743i             43022.98368777927+106757.5132905643i              43118.862832829574+106808.48613322806i            43213.57041403577+106845.29617075727i
790                                               42867.418808249364+106408.830428223i              42927.50197406765+106580.02418389887i             42999.57316699564+106737.1280211874i              43081.230494351366+106875.26648474632i            43170.0698008887+106992.60545911589i              43264.03059024295+107091.04107036022i             43361.20128973382+107172.94569856238i             43459.8458827731+107236.68507384008i              43558.343627891896+107286.56342640499i            43655.402427635665+107321.98800402266i
795                                               43282.11043081154+106881.77268203686i             43345.58256116642+107055.01932595046i             43421.113299440156+107213.6377145986i             43506.23056810362+107352.74586472064i             43598.46316620922+107470.53103678706i             43695.69424552357+107568.93533765254i             43795.96241426837+107650.3835683454i              43897.48895876901+107713.27074008029i             43998.616334499624+107761.97048884182i            44098.02581601964+107795.92621390626i
800                                               43697.19835655418+107352.61873455999i             43764.14287706184+107527.8764023873i              43843.208447415724+107687.95580280387i            43931.851517794974+107827.97007397233i            44027.53277917612+107946.12972678294i             44128.0782772109+108044.4246908272i               44231.476302537085+108125.33407144019i            44335.905202911206+108187.28403806488i            44439.67062780383+108234.71950534264i             44541.42748362377+108267.12173090027i
805                                               44112.6876486376+107821.39712247674i              44183.18736678586+107998.62145028678i             44265.86207299624+108160.10581218821i             44358.09546579555+108300.96017439025i             44457.279082911664+108419.42023026005i            44561.18113415761+108517.52562683748i             44667.73912601711+108597.81170600234i             44775.088264519574+108658.73771633841i            44881.497434634715+108704.82176244297i            44985.59548247676+108735.58469724812i
810                                               44528.58540661395+108288.13473564642i             44602.72240803737+108467.2789042232i              44689.07946201784+108630.1097200013i              44784.96624545435+108771.73574161463i             44887.70411674797+108890.41983504132i             44995.002746488986+108988.25331225325i            45104.74842405827+109067.82973259363i             45215.033050841455+109127.6433881211i             45324.08883496953+109172.28752237944i             45430.51891998544+109201.32434976984i
815                                               44944.90061061982+108752.85663361769i             45022.7561600174+108933.87142047085i              45112.8675776422+109097.98778653349i              45212.46925995958+109240.31470567356i             45318.81138066836+109359.14426472422i             45429.54439578597+109456.6214409679i              45542.502980178455+109535.4000406659i             45655.73560964656+109594.0114064934i              45767.43795121988+109637.12590694432i             45876.18785507042+109664.34891226584i
820                                               45361.64394768956+109215.58587701786i             45443.29839519471+109398.41971567179i             45537.23489799306+109563.75840144837i             45640.61132593092+109706.7132050101i              45750.605685096416+109825.60754078707i            45864.80857153138+109922.6421045431i              45981.002685390595+110000.53302702022i            46097.192999834195+110057.85075116984i            46211.538826343334+110099.3447923782i             46322.59318402533+110124.66549840115i
825                                               45778.827621754135+109676.34337556997i            45864.360315509664+109860.94242160727i            45962.191238736545+110027.43794554255i            46069.40050279099+110170.94545562514i             46183.09298746102+110289.82185917167i             46300.798814994065+110386.3256763489i             46420.24838986625+110463.23748786321i             46539.40315119124+110519.16892792142i             46656.38629191539+110558.95071637281i             46769.72651721172+110582.2800260386i
830                                               46196.46514888375+110135.14775433026i             46285.954354483525+110321.45595755287i            46387.74756248131+110489.04066953213i             46498.84590968504+110633.02363646701i             46616.28021693346+110751.79748254968i             46737.51955231952+110847.68071074568i             46860.241744556224+110923.52052454044i            46982.36471465034+110977.97188166145i             47101.97582746507+111015.9487979396i              47217.58004770589+111037.19714383647i
835                                               46614.57113970638+110592.01523954862i             46708.093967178735+110779.97442158566i            46813.91577653607+110948.57859107832i             46928.957531468346+111092.957792406i              47050.17508896515+111211.5426493043i              47174.97591781468+111306.71385828132i             47300.98503360811+111381.38746526057i             47426.0769043688+111434.26392399461i              47548.303412353904+111470.3426710463i             47666.14641315743+111489.42017073213i
840                                               47033.16107086331+111046.959565374i               47130.793409738675+111236.50950195621i            47240.708520917506+111406.06141107639i            47359.7460154946+111550.75575564764i              47484.78591124996+111669.0635002655i              47613.17356945012+111763.42979772988i             47742.480999719664+111836.84180243696i            47870.53933314684+111888.04767595131i             47995.36537153332+111922.13443255326i             48115.41855220807+111938.95104888623i
845                                               47452.25104758276+111499.99190243932i             47554.067510534514+111691.07040953689i            47668.13894845578+111861.49645016463i             47791.22246105374+112006.42308650796i             47920.12138284341+112124.36402385267i             48052.118498022406+112217.83118571083i            48184.732663666466+112289.88514666105i            48315.751842593054+112339.32402644416i            48443.158216671574+112371.32460491771i            48565.38955673609+112385.7903105239i
850                                               47871.85755950457+111951.12080915229i             47977.931434996746+112143.66383202528i            48096.22049897399+112314.88860617507i             48223.39820327548+112459.96303416033i             48356.19038821309+112577.44602021525i             48491.81683171289+112669.9186243115i              48627.743139676786+112740.51719790218i            48761.714329630646+112788.09210678488i            48891.67848400518+112817.91211403627i             49016.05252129017+112829.93705886955i
855                                               48291.997231966525+112400.35220626331i            48402.40044622448+112594.29391058302i             48524.966669656606+112766.24033280509i            48656.28459382753+112911.37651767122i             48793.00178821207+113028.30908484502i             48932.274637837916+113119.69064716739i            49071.515448331884+113188.73573398484i            49208.42657086394+113234.34928162332i             49340.922570419585+113261.89428241311i            49467.400391101146+113271.38896338496i
860                                               48712.686575022555+112847.68937514028i            48827.48966348353+113042.96223904312i             48954.390783450755+113215.55164023748i            49089.892779171925+113360.6621280106i             49230.56420957174+113476.95061177699i             49373.49772346845+113567.14372409371i             49516.052328629485+113634.53661666214i            49655.88804632569+113678.0911562794i              49790.88656914571+113703.26683768303i             49919.42580991858+113710.14226928753i
865                                               49133.94173245035+113293.13297989697i             49253.21382088239+113489.6678862084i              49384.5057578155+113662.82011741972i              49524.23348031158+113807.81615046594i             49668.885834969245+113923.36581651017i            49815.49143674308+114012.27228433458i             49961.35605082634+114077.91381511893i             50104.09776418339+114119.31160048113i             50241.566106582046+114142.02393642532i            50372.12096909495+114146.1918212573i
870                                               49555.778233035664+113736.68111337248i            49679.58702831802+113934.4074406453i              49815.32387576022+114108.040976084i               49959.31677407404+114252.83260794924i             50107.97419546946+114367.54777845346i             50258.26047053335+114455.0687582353i              50407.42823170174+114518.85944684362i             50553.05408787154+114558.00278830361i             50692.95618153916+114578.15820308936i             50825.47745913849+114579.53110109779i
875                                               49978.21074642067+114178.32936658565i             50106.62253687284+114377.17507821831i             50246.85656120788+114551.20711626706i             50395.15187888218+114695.70332461811i             50547.83596711766+114809.48750266271i             50701.80867021641+114895.52363707725i             50854.26965385625+114957.36383551813i             51002.7545671664+114994.15525400708i              51145.05100809952+115011.66078344172i             51279.486124995834+115010.15227901857i
880                                               50401.2528457649+114618.07092136508i              50534.33251078283+114817.962651553i               50679.11416076763+114992.30921276829i             50831.74694682007+115136.41800929072i             50988.4767734906+115249.17400032611i              51146.13884722749+115333.62555055959i             51301.88009049095+115393.41558537733i             51453.19577457623+115427.75796327651i             51597.843864375136+115442.52141287862i            51734.13692626852+115438.04627806327i
885                                               50824.916779308354+115055.89666526047i            50962.72780800477+115256.75980092953i             51112.1057337783+115431.3358219157i               51269.10886348971+115574.96435822017i             51429.90099595839+115686.59438743288i             51591.252599922176+115769.3613613724i             51750.258137322446+115827.00167166146i            51904.37314845476+115858.79839930164i             52051.32694654849+115870.7284977272i              52189.41880348324+115863.20285121846i
890                                               51249.21325308037+115491.7953280645i              51391.817771631264+115693.5540853246i             51545.83885259551+115868.2735078331i              51707.24305777941+116011.32817624655i             51872.11159321218+116121.73400084337i             52037.15014334118+116202.71627607058i             52199.40105283589+116258.10754621652i             52356.28084414938+116287.26266305699i             52505.49123133421+116296.26921017123i             52645.31955153631+116285.61067045775i
895                                               51674.15122666475+115925.75363865108i             51821.61003340051+116128.33113396128i             51980.31941483852+116303.10698724749i             52146.15332302642+116445.49351548041i             52315.109931731444+116554.57653080944i            52483.830149349684+116633.67397140729i            52649.304608438215+116686.71725749184i            52808.91159435298+116713.13558689418i             52960.32634681157+116719.12959529468i             53101.82570122885+116705.2574271351i
900                                               52099.737723938946+116357.7565010547i             52252.11033207251+116561.0748145823i              52415.55146933424+116735.81929150375i             52585.84165113363+116877.44283037126i             52758.895628598446+116985.10416892865i            52931.289598416835+117062.2167350879i             53099.962949539746+117112.8135840558i             53262.25657986406+117136.4008606606i              53415.82045300546+117139.29468963736i             53558.9224099235+117122.12994285073i
905                                               52525.97766065236+116787.78718824669i             52683.32234746527+116991.76741987233i             52851.53705731989+117166.39194471491i             53026.30808128821+117307.1571478177i              53203.46640803011+117413.29777032425i             53379.52364441351+117488.32561988408i             53551.368468945904+117536.37818049258i            53716.30531177485+117557.04116925344i             53871.960133202665+117556.74865033077i            54016.59336215713+117536.21428995152i
910                                               52952.87369036357+117215.82755202003i             53115.24755221827+117420.38986869053i             53288.27607035013+117594.80515645858i             53467.55056452107+117734.61625125432i             53648.817972928155+117839.13702878689i            53828.525493523994+117911.98060983462i            54003.511693441564+117957.39173461378i            54171.045526084294+117975.03834066553i            54328.730296786125+117971.47489379821i            54474.820680866615+117947.4959208177i
915                                               53380.42607037974+117641.85824729507i             53547.88508251321+117846.92192112152i             53725.766126303126+118021.03802747893i            53909.56484527494+118159.79887679196i             54094.94389255765+118262.60066349659i             54278.286298336316+118333.16079728973i            54456.381184638514+118375.8341346092i             54626.4630915835+118390.37350326563i              54786.11409441115+118383.4562430046i              54933.584850146304+118355.95980485728i
920                                               53808.632548910056+118065.85896890602i            53981.23162901109+118271.34240536937i             54164.00246451111+118445.06876662966i             54352.3443612551+118582.68292020123i              54541.835507361044+118683.66661573412i            54728.79506802331+118751.84456933147i             54909.96345489662+118791.68464511643i             55082.54193177362+118803.02725121655i             55244.09284622763+118792.67508213913i             55392.86464991711+118761.59057232038i
925                                               54237.48827466872+118487.8086988982i              54415.281349188874+118693.62945487344i            54602.977861214546+118866.87491755658i            54795.88016233871+119003.24565292799i             54989.48185180361+119102.31225418657i             55180.03859547937+119168.00980217129i             55364.24289901205+119204.92209054796i             55539.26396151438+119212.97981670461i             55702.64598370481+119199.11351754011i             55852.637103228626+119164.37266377851i
930                                               54666.98572987728+118907.68596219583i             54850.02580187369+119113.76075320647i             55042.68256604934+119286.43359277694i             55240.1608494629+119421.46394524384i              55437.86959596383+119518.51458698076i             55632.00140200506+119581.63406195483i             55819.20174240672+119615.52504453133i             55996.60903890581+119620.21124772866i             56161.75100556188+119602.75354373387i             56312.87743643507+119564.29048423277i
935                                               55097.114687479225+119325.46908855416i            55285.45390479369+119531.71378520224i             55483.10426036217+119703.72171368609i             55685.17253402777+119837.31449496382i             55886.98300650212+119932.2504789905i              56084.66570014346+119992.69481042436i             56274.82000613974+120023.47202369382i             56454.55493294425+120024.7015900363i              56621.38344825192+120003.57721330739i             56773.5590527898+119961.3285607577i
940                                               55527.86219306973+119741.13647833219i             55721.55191568596+119947.46609162867i             55924.22803779223+120118.71625409952i             56130.898818399044+120250.77405963368i            56336.80392737667+120343.49687231857i             56538.01137503626+120401.1696137019i              56731.075489296054+120428.74168462715i            56913.07730711221+120426.43107193024i             57081.51687120382+120401.56680939462i             57234.653519623316+120355.47170248572i
945                                               55959.21257204636+120154.66686996377i             56158.30343724+120360.99552574132i                56366.036407486026+120531.39448554888i            56577.320797738896+120661.81969032563i            56787.31178068133+120752.23100870194i             56992.01598461656+120807.03635273829i             57187.94376881958+120831.3130222559i              57372.14971934307+120825.38029039589i             57542.12285710237+120796.70501944552i             57696.13056922367+120746.70516181765i
950                                               56391.1474620157+120566.03960664195i              56595.689446193006+120772.28050910549i            56808.5093201287+120941.73422201833i              57024.41708333607+121070.4289651707i              57238.48358767539+121158.43065127646i             57446.65477866945+121210.27343351392i             57645.39821705665+121231.16556810986i             57831.74363828989+121221.53039732088i             58003.17102727967+121188.97510906571i             58157.95811364671+121135.01479569804i
955                                               56823.64587049266+120975.23489986817i             57033.68834629971+121181.3002846035i              57251.62421663836+121349.714062194i               57472.16384738637+121476.5802205087i              57690.29400995687+121562.07430462535i             57901.90073684173+121610.85999546316i             58103.41003684981+121628.27958701922i             58291.828475916765+121614.86328417063i            58464.62907215345+121578.36109454643i             58620.1022732932+121520.3872257373i
960                                               57256.68425752435+121382.23408752191i             57472.2760451591+121588.03516436109i              57695.35609941838+121755.313627019i               57920.53488902958+121880.25277782672i             58142.715410699944+121963.14143072708i            58357.72462532629+122008.77611633347i             58561.94831414973+122022.63627060135i             58752.371636365155+122005.36176385134i            58926.46279664291+121964.84791283595i             59082.527419263395+121902.809996065i
965                                               57690.2366428426+121787.01988400979i              57911.42605425012+121992.46677043213i             58139.677625683784+122158.51379048526i            58369.50172124126+122281.42716442236i             58595.71793543034+122361.61265928751i             58814.0950719867+122404.00301186577i              59020.9800877767+122414.21792598475i              59213.33858069304+122393.00974827871i             59388.63618030656+122348.42158766805i             59545.196229206485+122282.27172772323i
970                                               58124.274736744956+122189.57662026909i            58351.10961160715+122394.57826582446i             58584.55922218248+122559.29690163942i             58819.03367802767+122680.08532599235i             59049.2696119727+122757.46999057436i              59270.97865937689+122796.52322856367i             59480.470435890136+122803.00815830992i            59674.6929072637+122777.79242024074i              59851.111451937664+122729.06939052365i            60008.06975642696+122658.76226846434i
975                                               58558.76809376874+122589.89047129692i             58791.29582623453+122794.3545741699i              59029.96922065207+122957.6469957703i              59269.09804108309+123076.21082913701i             59503.336468817106+123150.69698896908i            59728.34003511166+123186.32082800707i             59940.38257873952+123188.99204542648i             60136.396447121806+123159.69639821307i            60313.84917802125+123106.77999522547i             60471.10751183453+123032.27283673962i
980                                               58993.68428806411+122987.9496690767i              59231.95184321055+123191.78258542717i             59475.87401284808+123353.54999283265i             59719.66018522716+123469.78905210886i             59957.88267105058+123541.27896564432i             60186.142038737846+123573.38156110776i            60400.677996829596+123572.1563034231i             60598.409373884664+123538.70989278158i            60776.80836465483+123481.54362492246i             60934.26755824143+123402.79615891492i
985                                               59428.98910902317+123383.74469877897i             59673.043028118394+123586.85134621411i            59922.2382241141+123746.99388133774i              60170.68374121044+123860.8073619469i              60412.870672920646+123929.20314861888i            60644.34584427286+123957.69303078836i             60861.31656378653+123952.48944146407i             61060.69032731375+123914.82285339429i             61239.94657220338+123853.35219029499i             61397.50661643846+123770.3265985633i
990                                               59864.64677563284+123777.26847633815i             60114.53316942027+123979.55223240105i             60369.024904018195+124137.96888585722i            60622.13077493956+124249.25527644105i             60868.261385815546+124314.458838841i              61102.91111735198+124339.24484166819i             61322.256692989904+124329.98190493023i            61523.196549737586+124288.02710420116i            61703.22004190853+124222.19941788021i             61860.78018234837+124134.86027672306i
995                                               60300.620167792855+124168.51650556938i            60556.38469719012+124369.87910276913i             60816.19573259205+124526.46761665071i             61073.96198153158+124635.1246093961i              61324.014360413785+124697.03755067052i            61561.79618574607+124718.02873547371i             61783.455496811526+124704.62620497831i            61985.88403438971+124658.3164678774i              62166.58383365856+124588.08096739202i             62324.04265458609+124496.39518239602i
1000                                              60736.87107266249+124557.48701317444i             60998.55891624823+124757.8284317191i              61263.711240537785+124912.48519973502i            61526.136892694274+125018.40959776749i            61780.087981564284+125076.9331355702i             62020.95822200376+125094.03871081905i             62244.8689573379+125076.41703427624i              62448.70768454734+125025.68687630128i             62629.9919738451+124950.99453716126i              62787.24747139617+124854.9312721003i
1005                                              61173.36044388717+124944.18106020593i             61441.01625182767+125143.39941988133i             61711.53104145848+125296.01938641506i             61978.61409577114+125399.1070094137i              62236.43967433566+125454.1418878214i              62480.35343678969+125467.27112636578i             62706.45210727725+125445.35136696514i             62911.621482277864+125390.13646714712i            63093.39761238919+125310.93995663499i             63250.34725618967+125210.47055782011i
1010                                              61610.04867152371+125328.60262869696i             61883.716505682954+125526.59408148468i            62159.614074244404+125677.07064069166i            62431.35146259423+125777.21623041682i             62693.02611953896+125828.66263112516i             62939.93728134419+125837.72478632296i             63168.159219608606+125811.42854256443i            63374.57866563825+125751.66566554536i             63556.75318764797+125667.91926529384i             63713.293970561994+125563.0171825616i
