% Model:              2D Model _ r2u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 13 2017, 09:47
% Table:              Table 1 - r2u_r2 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_side=0.02, acpr.p_t*2*pi*a (N)                  g_side=0.04, acpr.p_t*2*pi*a (N)                  g_side=0.06, acpr.p_t*2*pi*a (N)                  g_side=0.08, acpr.p_t*2*pi*a (N)                  g_side=0.1, acpr.p_t*2*pi*a (N)                   g_side=0.12, acpr.p_t*2*pi*a (N)                  g_side=0.14, acpr.p_t*2*pi*a (N)                  g_side=0.16, acpr.p_t*2*pi*a (N)                  g_side=0.18, acpr.p_t*2*pi*a (N)                  g_side=0.2, acpr.p_t*2*pi*a (N)
100                                               930.4259939427249+16814.33292064105i              930.2816638773589+16820.557946956804i             930.1440129834874+16826.219639150728i             930.0124861781113+16831.372421568813i             929.8866172884766+16835.577292791495i             929.7660447657486+16839.45834384128i              929.6502311033977+16842.618170759535i             929.5390278987461+16845.43208390533i              929.4320804474082+16847.932584658927i             929.3291323122245+16850.26199867988i
105                                               1026.9035111566352+17646.16454991678i             1026.7287326008473+17652.690906266536i            1026.5621350962779+17658.627747939234i            1026.403039877762+17664.03192866499i              1026.2508768623495+17668.442271367858i            1026.105203703266+17672.513917338278i             1025.965364480203+17675.82930848143i              1025.8311768137594+17678.782510914745i            1025.70220759748+17681.40749011319i               1025.5781435459555+17683.85359113144i
110                                               1127.70713184551+18476.86159840356i               1127.4975977692757+18483.68886689898i             1127.2979831604941+18489.90072026799i             1127.1074668735766+18495.556399271867i            1126.9253592001326+18500.17251842873i             1126.7511248432222+18504.43524689281i             1126.5839712438162+18507.90683114144i             1126.4236771382282+18511.00009161999i             1126.269718990279+18513.75043446199i              1126.1217180035778+18516.31420997522i
115                                               1232.8357864684847+19306.3778518933i              1232.5868511324095+19313.505825392032i            1232.3498351933395+19319.99277388682i             1232.1237545734966+19325.900280840928i            1231.9077826785212+19330.72271807677i             1231.7012778888943+19335.17725914426i             1231.5032909799072+19338.805911869043i            1231.3135563892008+19342.04024949303i             1231.13144693417+19344.917094250046i              1230.9565087692315+19347.599786878945i
120                                               1342.2824445704498+20134.665131419937i            1341.9891225950134+20142.093842492453i            1341.7100078837639+20148.856219077952i            1341.4439309177412+20155.01614102727i             1341.1899093266074+20160.045701657815i            1340.9471805370476+20164.69305437358i             1340.714616711202+20168.47992321376i              1340.4919020725642+20171.85663255921i             1340.278291298219+20174.861395087988i             1340.0732450394494+20177.664526440705i
125                                               1456.0348483531375+20961.674438720056i            1455.6918157074083+20969.40418892419i             1455.3655939818439+20976.44260464348i             1455.0548036955415+20982.85581386173i             1454.758286095832+20988.093594038262i             1454.4751416994363+20992.935052837354i            1454.204040093153+20996.881583449638i             1453.9446088380591+21000.402259633345i            1453.6959686403818+21003.53665772626i             1453.4574832305243+21006.46205206811i
130                                               1574.0762141531725+21787.35678464891i             1573.67781102095+21795.388173968648i              1573.2991675851217+21802.703546624205i            1572.9386677485788+21809.371228510412i            1572.594953981858+21814.818642357597i             1572.2669725510632+21819.85582343636i             1571.9531643929106+21823.963785118613i            1571.653093407358+21827.63034864061i              1571.3657290876013+21830.89642612029i             1571.0903258105538+21833.94623367077i
135                                               1696.3858783527749+22611.663780719293i            1695.926113884452+22619.99773708835i              1695.4894337985218+22627.59131991274i             1695.0739565188055+22634.515000831456i            1694.678101474755+22640.173807461753i             1694.300641884645+22645.40867495392i              1693.9397617644793+22649.680185990997i            1693.594953752611+22653.494907254735i             1693.265017428957+22656.89505763308i              1692.9490843069661+22660.0717773969i
140                                               1822.9398785877331+23434.54805419672i             1822.4124375023223+23443.18586297994i             1821.9118136624388+23451.05927321706i             1821.4358288467379+23458.240848173522i            1820.982653222826+23464.11317845567i              1820.5508666579228+23469.548070299523i            1820.1383656626422+23473.985622927026i            1819.744563402148+23477.951146286297i             1819.3680692951473+23481.4881359123i              1819.0078773631058+23484.794637902214i
145                                               1953.7114692295647+24255.963531898225i            1953.1097202397175+24264.906865255907i            1952.538963287965+24273.06211253041i              1951.996689941835+24280.503872577123i             1951.4807928508524+24286.592255560066i            1950.9896366544701+24292.229908939353i            1950.5207973458823+24296.83639382102i             1950.0735997794727+24300.95576105789i             1949.6464413294068+24304.63275160727i             1949.238162723856+24308.072298337487i
