% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 16 2017, 08:14
% Table:              Table 2 - r1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
175                                               2634.455897394485+13105.71226598182i              2634.3177573401226+13106.217434599474i            2634.1873087827585+13106.70687415174i             2634.06428238542+13107.190957296005i              2633.948405411077+13107.644027522398i             2633.839393304086+13108.070790042668i             2633.7371138777985+13108.514537531162i            2633.641228061924+13108.910754611548i             2633.5515423612947+13109.295469499766i            2633.4678841361606+13109.676742410626i
180                                               2782.8097618229076+13455.41249589464i             2782.6667916163206+13455.954014944966i            2782.5325173828387+13456.47900347289i             2782.406632991006+13456.99812826805i              2782.2888293556234+13457.48495333825i             2782.1787832637633+13457.94430945927i             2782.076342049035+13458.420769642615i             2781.981122842357+13458.847881650243i             2781.892904000446+13459.26273740757i              2781.8114881644733+13459.673628810628i
185                                               2934.8174801853197+13803.184325645056i            2934.6707395173407+13803.76484455425i             2934.533781254081+13804.327954974922i             2934.4062579393844+13804.884617748763i            2934.287819747044+13805.407613492174i             2934.17810010019+13805.901898046484i              2934.0769227498836+13806.413328568186i            2933.983855981712+13806.873508175435i             2933.89864619109+13807.320595805793i              2933.821067859794+13807.763115366251i
190                                               3090.4452294710627+14148.991229213712i            3090.2960199847053+14149.613461582972i            3090.1577639385864+14150.217320221533i            3090.030067595639+14150.814060060222i             3089.9125355376514+14151.375674341029i            3089.804752678779+14151.907243594078i             3089.7065157068246+14152.455913121486i            3089.6173385748675+14152.951333498133i            3089.536931490087+14153.432734215368i             3089.465036970546+14153.908871646943i
195                                               3249.6591406258644+14492.797802325147i            3249.509017602855+14493.464510724756i             3249.371105704395+14494.11178129891i              3249.2449594559243+14494.751163204333i            3249.1301325481104+14495.353858318971i            3249.0261557380504+14495.925071603126i            3248.932794783475+14496.513240765227i             3248.849503318436+14497.04605580874i              3248.7759507187043+14497.563820618601i            3248.7118433205987+14498.075524637012i
200                                               3412.425382222342+14834.569671251535i             3412.276165532646+14835.283650829942i             3412.1405056389863+14835.977017238734i            3412.0178993516984+14836.661614144798i            3411.9078436561754+14837.307848066443i            3411.809808996142+14837.921048324235i             3411.723525898437+14838.550949532186i             3411.6483811723538+14839.12327305724i             3411.5839982541365+14839.67940131254i             3411.53004267089+14840.228557609993i
205                                               3578.7102253946314+15174.273400609081i            3578.5640095964377+15175.037461575197i            3578.4327847841414+15175.779609571662i            3578.315983530908+15176.511983248267i             3578.213039762742+15177.204189809036i             3578.1233568891153+15177.86168306432i             3578.046625459137+15178.53549935621i              3577.9821583777207+15179.149383291207i            3577.929527567816+15179.745800331293i             3577.888352658284+15180.334208681328i
210                                               3748.48009188303+15511.876401957838i              3748.339255323725+15512.69335095431i              3748.2149321238844+15513.486948761078i            3748.1064834884414+15514.26962968967i             3748.0132733570053+15515.010197756957i            3747.934630797514+15515.714231638714i             3747.8702011359896+15516.434074589113i            3747.8192157256244+15517.091486328978i            3747.781188872117+15517.73002030088i              3747.755688738848+15518.35937090841i
215                                               3921.701586766824+15847.346844572268i             3921.5687996242855+15848.219465049457i            3921.4541350708487+15849.067142978389i            3921.35687518689+15849.902609284576i              3921.276306378009+15850.69386103227i              3921.2116754498625+15851.446602447917i            3921.1625767445307+15852.21448927447i             3921.128151775578+15852.917288280903i             3921.1078506170343+15853.599646288085i            3921.1011838840036+15854.271495533732i
220                                               4098.341517483628+16180.6535697178i               4098.219748626225+16181.584601369008i             4098.117796042159+16182.488930545547i             4098.034854266235+16183.379586070725i             4097.970123979553+16184.223754451259i             4097.922761136787+16185.027266509469i             4097.892302802874+16185.845096505343i             4097.8777917116+16186.595010291512i               4097.878606516457+16187.322753998214i             4097.894193705533+16188.038499715849i
